English	Russian	Latin Letters	Part of Speech
Termination	оконча́ние	okonchanie	Noun
Terrestrial Being	земля́нин	zemljanin	Noun
Terrible	жу́ткий	zhutkii	Noun
Terrible	стра́шный	strashnyi	Noun
Terrible	ужа́сный	užasnyj	Noun
Terrible	ужасно	užasno	Noun
Terrible	ужасный	užasnyj	Noun
Terrible One	ужасный	užasnyj	Noun
Terribly	ужа́сно	užasno	Adverb
Terribly	ужасно	užasno	Adverb
Terrified	испуган	ispugan	Verb
Terrifying	гро́зный	groznyi	Verb
Territory	террито́рия	territoriâ	Noun
Territory	территория	territoriâ	Noun
Terror	у́жас	uzhas	Noun
Terrorist	террори́ст	terrorist	Noun
Test	анализ	analiz	Noun
Test	испыта́ние	ispytanie	Noun
Test	контрольная	kontrolʹnaâ	Noun
Test	экзамен	ékzamen	Noun
Testicle	яйцо́	âjco	Noun
Testify	свиде́тельствовать	svidetel'stvovat'	Verb
Testimony	показа́ние	pokazanie	Noun
Texas	Техас	Tehas	Noun
Text	написать	napisatʹ	Noun
Text	напиши	napiši	Noun
Text	писать	pisatʹ	Noun
Text	сообщение	soobŝenie	Noun
Text	текст	tekst	Noun
Text	текстового	tekstovogo	Noun
Text	текстовые	tekstovye	Noun
Text	смс	sms	Noun
Text	переписывается	perepisyvaetsja	Noun
Textbook	уче́бник	učebnik	Noun
Textbook	учебник	učebnik	Noun
Textbook	учебнику	uchebniku	Noun
Textbook	учебнике	uchebnike	Noun
Textbook	учебника	uchebnika	Noun
Textbook	учебником	uchebnikom	Noun
Than	чем	čëm	Noun
Than Her	её	ee	Noun
Than Her	чем её	chem ee	Noun
Than Her	чем она	chem ona	Noun
Than Her	неё	nee	Noun
Than Him	него	nego	Noun
Than Him	чем он	chem on	Noun
Than Me	меня	menâ	Noun
Than Mine	моего	moego	Noun
Than Mine	моей	moej	Noun
Than Ours	нашего	našego	Noun
Than Soup	супа	supa	Noun
Than Them	чем они	chem oni	Noun
Than Them	чем их	chem ih	Noun
Than Them	чем им	chem im	Noun
Than Us	нас	nas	Noun
Than You	тебя	tebâ	Noun
Than Yours	твоего	tvoego	Noun
Thank	благодарят	blagodarjat	Noun
Thank	поблагодарить	poblagodarit'	Noun
Thank	поблагодарите	poblagodarite	Noun
Thank	поблагодари	poblagodari	Noun
Thank	благодарю	blagodarju	Noun
Thank	благодарим	blagodarim	Noun
Thank	спасибо	spasibo	Noun
Thank Goodness	слава богу	slava bogu	Noun
Thank You	спасибо	spasibo	Noun
Thank You For	спасибо за	spasibo za	Noun
Thank You For	благодарю за	blagodarju za	Noun
Thank You For	спасибо что	spasibo chto	Noun
Thank You Very Much	большое спасибо	bolʹšoe spasibo	Noun
Thankful	благода́рный	blagodarnyi	Noun
Thanks	спаси́бо	spasibo	Noun
Thanks	спасибо	spasibo	Noun
Thanks Anyway	всё равно спасибо	vse ravno spasibo	Noun
Thanks For	спасибо за	spasibo za	Noun
Thanks For	благодарить за	blagodarit' za	Noun
Thanks For	благодарю за	blagodarju za	Noun
Thanks For	спасибо что	spasibo chto	Noun
Thanks For Not	спасибо за то что не	spasibo za to chto ne	Noun
Thanks For Not	благодарю за то что не	blagodarju za to chto ne	Noun
Thanks For Not	спасибо что не	spasibo chto ne	Noun
Thanks For Not	благодарю что не	blagodarju chto ne	Noun
Thanks To	благодаря	blagodarâ	Noun
Thanks To	благодаря́	blagodarâ	Noun
Thanksgiving	День Благодарения	Den' Blagodarenija	Verb
That	кому	komu	Demonstrative Pronoun
That	который	kotoryj	Demonstrative Pronoun
That	так	tak	Demonstrative Pronoun
That	такой	takoj	Demonstrative Pronoun
That	то	to	Demonstrative Pronoun
That	той	toj	Demonstrative Pronoun
That	тот	tot	Demonstrative Pronoun
That	что	čto	Demonstrative Pronoun
That	чтобы	čtoby	Demonstrative Pronoun
That	этим	étim	Demonstrative Pronoun
That	это	éto	Demonstrative Pronoun
That	этого	étogo	Demonstrative Pronoun
That	этой	étoj	Demonstrative Pronoun
That	этом	étom	Demonstrative Pronoun
That	этому	étomu	Demonstrative Pronoun
That	этот	étot	Demonstrative Pronoun
That	эту	étu	Demonstrative Pronoun
That Has Been Done	сделанный	sdelannyj	Noun
That Is	то	to	Noun
That Is	это	éto	Noun
That Is Why	оттого́	ottogo	Demonstrative Pronoun
That Is Why	поэ́тому	poétomu	Demonstrative Pronoun
That Is Why	поэтому	poétomu	Demonstrative Pronoun
That Must Be	это должно быть	eto dolzhno byt'	Noun
That Must Be	должно быть	dolzhno byt'	Noun
That Must Be	это наверняка	eto navernjaka	Noun
That Must Be	должно являться	dolzhno javljat'sja	Noun
That One	та	ta	Noun
That One	тот	tot	Noun
That One	то	to	Noun
That Sort Of Thing	вот такое	vot takoe	Noun
That Sounds Like	звучать как	zvuchat' kak	Noun
That Sounds Like	это звучит как	eto zvuchit kak	Noun
That Sounds Like	похоже на	pohozhe na	Noun
That Sounds Like	напоминает	napominaet	Noun
That Sounds Like	звучит будто	zvuchit budto	Noun
That Sounds Like	казаться	kazat'sja	Noun
That Was Made	сделанный	sdelannyj	Noun
That We	что мы	chto my	Noun
That We	которые мы	kotorye my	Noun
That Weighs	весом	vesom	Noun
That Would Be	это было бы	eto bylo by	Noun
That Would Be	быть	byt'	Noun
That's	это	éto	Noun
That's All Right	ничего страшного	nichego strashnogo	Noun
That's Why	вот почему	vot pochemu	Noun
That's Why	поэтому	poétomu	Noun
The	эта	eta	Noun
The	эту	etu	Noun
The	этой	etoi	Noun
The	этот	etot	Noun
The	этому	etomu	Noun
The	этим	étim	Noun
The	этом	étom	Noun
The Action Of Departing Or Leaving	вы́езд	vyezd	Noun
The Action Of Shooting	стрельба́	strel'ba	Noun
The Actions	действия	dejstviâ	Noun
The Actor	актёр	aktër	Noun
The Actress	актриса	aktrisa	Noun
The Address	адрес	adres	Noun
The Administrator	администратор	administrator	Noun
The Air	воздух	vozduh	Noun
The Alien	инопланетянин	inoplanetânin	Noun
The Alphabet	алфавит	alfavit	Noun
The American	американец	amerikanec	Noun
The Animal	животное	životnoe	Noun
The Answer	ответ	otvet	Noun
The Apple	яблоко	âbloko	Noun
The Apples	яблоки	âbloki	Noun
The Architect	архитектор	arhitektor	Noun
The Area	площадь	ploŝadʹ	Noun
The Armchair	кресло	kreslo	Noun
The Arrow	стрела	strela	Noun
The Article	статья	statʹâ	Noun
The Artist	художник	hudožnik	Noun
The Astronaut	космонавт	kosmonavt	Noun
The At Sign	соба́ка	sobaka	Noun
The Athlete	спортсмен	sportsmen	Noun
The Aunt	тётя	tëtâ	Noun
The Author	автор	avtor	Noun
The Average	средний	srednij	Noun
The Bad	плохие	plohie	Noun
The Bad	плохой	plohoj	Noun
The Bad	плохую	plohuû	Noun
The Bag	пакет	paket	Noun
The Bag	сумка	sumka	Noun
The Balcony	балкон	balkon	Noun
The Ball	мяч	mâč	Noun
The Ballerina	балерина	balerina	Noun
The Ballet	балет	balet	Noun
The Band	оркестр	orkestr	Noun
The Bank	банка	banka	Noun
The Bathroom	туалет	tualet	Noun
The Bathtub	ванна	vanna	Noun
The Battle	битва	bitva	Noun
The Beach	пляж	plâž	Noun
The Bear	медведь	medvedʹ	Noun
The Bears	медведи	medvedi	Noun
The Bed	кровати	krovati	Noun
The Beginning	начале	načale	Noun
The Beginning	начало	načalo	Noun
The Best	лучший	lučšij	Noun
The Big	большое	bolʹšoe	Noun
The Big	большой	bolʹšoj	Noun
The Big	большую	bolʹšuû	Noun
The Big City	большой город	bol'shoi gorod	Noun
The Bird	птица	ptica	Noun
The Birds	птицы	pticy	Noun
The Birth	рождение	roždenie	Noun
The Black	чёрная	čërnaâ	Noun
The Black	чёрную	čërnuû	Noun
The Black One	чёрная	čërnaâ	Noun
The Blog	блог	blog	Noun
The Blue	синей	sinej	Noun
The Blue	синий	sinij	Noun
The Blue	синюю	sinûû	Noun
The Blue	синяя	sinââ	Noun
The Blue One	синий	sinij	Noun
The Book	книга	kniga	Noun
The Books	книги	knigi	Noun
The Boots	ботинки	botinki	Noun
The Box	коробка	korobka	Noun
The Boy	мальчик	malʹčik	Noun
The Boy	мальчика	malʹčika	Noun
The Boyfriend	парень	parenʹ	Noun
The Boys	мальчикам	malʹčikam	Noun
The Bread	хлеб	hleb	Noun
The Bridge	мост	most	Noun
The Brother	брат	brat	Noun
The Brown	коричневый	koričnevyj	Noun
The Butter	масло	maslo	Noun
The Butterfly	бабочка	babočka	Adverb
The Button	кнопка	knopka	Noun
The Cafe	кафе	kafe	Noun
The Cake	торт	tort	Noun
The Camera	фотоаппарат	fotoapparat	Noun
The Car	машина	mašina	Noun
The Car	машиной	mašinoj	Noun
The Carrot	морковь	morkovʹ	Noun
The Carrots	морковь	morkovʹ	Noun
The Cars	машины	mašiny	Noun
The Cartoon	мультфильм	mulʹtfilʹm	Noun
The Case That	случай	sluchai	Noun
The Case That	дело	delo	Noun
The Case That	ситуация	situatsija	Noun
The Case That	факт	fakt	Noun
The Case That	обстоятельство	obstojatel'stvo	Noun
The Case That	случай когда	sluchai kogda	Noun
The Case That	случай если	sluchai esli	Noun
The Cat	кот	kot	Noun
The Cat	кошка	koška	Noun
The Cat	кошке	koške	Noun
The Cat	кошку	košku	Noun
The Cats	кошки	koški	Noun
The Center	центр	centr	Noun
The Central Committee	цк	tsk	Noun
The Chair	кресло	kreslo	Noun
The Chair	стул	stul	Noun
The Chair	стулом	stulom	Noun
The Chicken	курица	kurica	Noun
The Chicken	курицу	kuricu	Noun
The Child	ребёнок	rebënok	Noun
The Children's	детский	detskij	Noun
The Chills	озноб	oznob	Noun
The Chocolate	шоколад	šokolad	Noun
The Church	церковь	cerkovʹ	Noun
The Circle	круг	krug	Noun
The Circus	цирк	cirk	Noun
The City	город	gorod	Noun
The City	городе	gorode	Noun
The Class	занятия	zanâtiâ	Noun
The Class	класс	klass	Noun
The Classes	занятия	zanâtiâ	Noun
The Classroom	кабинет	kabinet	Noun
The Clothes	одежда	odežda	Noun
The Cloud	облако	oblako	Noun
The Coffee	кофе	kofe	Noun
The College	колледж	kolledž	Noun
The Company	компания	kompaniâ	Noun
The Composer	композитор	kompozitor	Noun
The Concert	концерт	koncert	Noun
The Construction Worker	строитель	stroitelʹ	Noun
The Content	содержание	soderžanie	Noun
The Contract	договор	dogovor	Noun
The Cosmonaut	космонавт	kosmonavt	Noun
The Couch	диван	divan	Noun
The Cow	корова	korova	Noun
The Criminal	преступник	prestupnik	Noun
The Crocodile	крокодил	krokodil	Noun
The Cup	чашка	čaška	Noun
The Dark	темнота	temnota	Noun
The Dark	темноты	temnoty	Noun
The Dark	темноте	temnote	Noun
The Dark	тёмном	temnom	Noun
The Dark	темнота́	temnota	Noun
The Date	число	čislo	Noun
The Day	день	denʹ	Noun
The Day After Tomorrow	послезавтра	poslezavtra	Noun
The Day Before	накану́не	nakanune	Noun
The Day Before	накануне	nakanune	Noun
The Day Before Yesterday	позавчера	pozavčera	Noun
The Day When	день	den'	Noun
The Day When	тот день	tot den'	Noun
The Day When	в тот день	v tot den'	Noun
The Day When	когда	kogda	Noun
The Day When	в день	v den'	Noun
The Day When	в который	v kotoryi	Noun
The Deer	олень	olenʹ	Noun
The Degree Of Qualification In A Certain Person	разря́д	razrjad	Noun
The Delicious	вкусная	vkusnaâ	Noun
The Depth	глубина	glubina	Noun
The Desert	пустыня	pustynâ	Noun
The Dessert	десерт	desert	Noun
The Dining Room	столовая	stolovaâ	Noun
The Dinner	ужин	užin	Noun
The Director	директор	direktor	Noun
The Director	директора	direktora	Noun
The Director's	директора	direktora	Noun
The Directors	директора	direktora	Noun
The Dishes	посу́да	posuda	Noun
The Dishes	посуда	posuda	Noun
The Doctor	врач	vrač	Noun
The Document	документ	dokument	Noun
The Dog	собака	sobaka	Noun
The Dog	собаки	sobaki	Noun
The Dog	собаку	sobaku	Noun
The Door	двери	dveri	Noun
The Door	дверь	dverʹ	Noun
The Doors	двери	dveri	Noun
The Dove	голубь	golubʹ	Noun
The Dragon	дракон	drakon	Noun
The Dress	платье	platʹe	Noun
The Drug Store	аптека	apteka	Noun
The Duck	утка	utka	Noun
The Duck	утки	utki	Noun
The Eagle	орёл	orël	Noun
The Earth	земля	zemlâ	Noun
The Effect	эффект	éffekt	Noun
The Eighth	восьмой	vosʹmoj	Noun
The Election	выборы	vybory	Noun
The Elephant	слон	slon	Noun
The Elevator	лифт	lift	Noun
The End	конец	konec	Noun
The Enemy	враг	vrag	Noun
The Entrance	вход	vhod	Noun
The Environment	окружающей среде	okruzhajuschei srede	Noun
The Environment	окружающую среду	okruzhajuschuju sredu	Noun
The Environment	окружающей среды	okruzhajuschei sredy	Noun
The Examination	экзамен	ékzamen	Noun
The Exercise	задание	zadanie	Noun
The Exit	выход	vyhod	Noun
The Factory	завод	zavod	Noun
The Familiar	знакомый	znakomyj	Noun
The Famous	известный	izvestnyj	Noun
The Farmer	фермер	fermer	Noun
The Favorite	любимый	lûbimyj	Noun
The Field	поле	pole	Noun
The Fifth	пятый	pâtyj	Noun
The File	файл	fajl	Noun
The Final	последний	poslednij	Noun
The Fire	огонь	ogonʹ	Noun
The First	первый	pervyj	Noun
The Flag	флаг	flag	Noun
The Floor	пол	pol	Noun
The Flowers	цветы	cvety	Noun
The Fog	туман	tuman	Noun
The Food	еда	eda	Noun
The Forest	лес	les	Noun
The Fourth	четвёртый	četvërtyj	Noun
The Fox	лиса	lisa	Noun
The French	французский	francuzskij	Noun
The Fridge	холодильник	holodilʹnik	Noun
The Frog	лягушка	lâguška	Noun
The Front	передние	perednie	Noun
The Front	перёд	pered	Noun
The Front	фасад	fasad	Noun
The Front Of	перед	pered	Noun
The Front Of	фасад	fasad	Noun
The Front Of	лицевая сторона	litsevaja storona	Noun
The Front Of	фронт	front	Noun
The Front Of	начало	nachalo	Noun
The Fruit	фрукты	frukty	Noun
The Funny	смешной	smešnoj	Noun
The Furniture	мебель	mebelʹ	Noun
The Future	бу́дущее	buduschee	Noun
The Gallery	галерея	galereâ	Noun
The Game	игра	igra	Noun
The Game	матч	matč	Noun
The Garage	гараж	garaž	Noun
The Garden	сад	sad	Noun
The Gas	бензин	benzin	Noun
The Gate	выход	vyhod	Noun
The German	немецкий	nemeckij	Noun
The Gift	подарок	podarok	Noun
The Ginger	рыжий	ryžij	Noun
The Girl	девочка	devočka	Noun
The Girl	девочке	devočke	Noun
The Girl	девочки	devočki	Noun
The Girl	девочкой	devočkoj	Noun
The Girl	девочку	devočku	Noun
The Girl	девушка	devuška	Noun
The Girls	девочкам	devočkam	Noun
The Girls	девочки	devočki	Noun
The Girls'	девочек	devoček	Noun
The Glasses	очки	očki	Noun
The Good	хорошая	horošaâ	Noun
The Good	хорошего	horošego	Noun
The Good	хорошей	horošej	Noun
The Good	хороший	horošij	Noun
The Good	хорошую	horošuû	Noun
The Grass	трава	trava	Noun
The Gray	серый	seryj	Noun
The Greatest	велича́йший	velichaishii	Noun
The Green	зелёная	zelënaâ	Noun
The Green	зелёный	zelënyj	Noun
The Groceries	продукты	produkty	Noun
The Ground Floor	первый этаж	pervyi etazh	Noun
The Guitar	гитара	gitara	Noun
The Guy	парень	parenʹ	Noun
The Hall	коридор	koridor	Noun
The Hare	заяц	zaâc	Noun
The Head	глава	glava	Noun
The Head	голова	golova	Noun
The Hedgehog	ёж	ëž	Noun
The Highway	шоссе	šosse	Noun
The Horse	лошади	lošadi	Noun
The Horse	лошадь	lošadʹ	Noun
The Horses	лошади	lošadi	Noun
The Hospital	больница	bolʹnica	Noun
The Hot	горячий	gorâčij	Noun
The Hotel	гостиница	gostinica	Noun
The Hotel	отель	otelʹ	Noun
The House	дома	doma	Noun
The Houses	дома	doma	Noun
The Husband	муж	muž	Noun
The Ice	лёд	lëd	Noun
The Ice Cream	мороженое	moroženoe	Noun
The Important	важный	važnyj	Noun
The Important Thing	главное	glavnoe	Noun
The Interesting	интересная	interesnaâ	Noun
The Interesting	интересной	interesnoj	Noun
The Interesting	интересные	interesnye	Noun
The Interesting	интересный	interesnyj	Noun
The Internet	интернет	internet	Noun
The Investigation	расследование	rassledovanie	Noun
The Island	остров	ostrov	Noun
The Issue Is	проблема в том	problema v tom	Noun
The Issue Is	дело в том	delo v tom	Noun
The Issue Is	вопрос в том	vopros v tom	Noun
The Issue Is	суть в том	sut' v tom	Noun
The Jam	варенье	varenʹe	Noun
The Japanese	японский	âponskij	Noun
The Joke	шутка	šutka	Noun
The Judge	судья	sudʹâ	Noun
The Kettle	чайник	čajnik	Noun
The Key	ключ	klûč	Noun
The King	король	korolʹ	Noun
The Kiosk	киоск	kiosk	Noun
The Kitchen	кухня	kuhnâ	Noun
The Kitten	котёнок	kotënok	Noun
The Knives	ножи	noži	Noun
The Kremlin	кремль	kreml'	Noun
The Laborer	рабочий	rabočij	Noun
The Ladies'	женский	ženskij	Noun
The Lake	озеро	ozero	Noun
The Lamp	лампа	lampa	Noun
The Large	большой	bolʹšoj	Noun
The Last	последний	poslednij	Noun
The Last One	последний	poslednij	Noun
The Launch	запуск	zapusk	Noun
The Leaf	лист	list	Noun
The Least	мале́йший	maleishii	Noun
The Lemon	лимон	limon	Noun
The Length	длина	dlina	Noun
The Lesson	урок	urok	Noun
The Letter	письмо	pisʹmo	Noun
The Library	библиотека	biblioteka	Noun
The Lie	ложь	ložʹ	Noun
The Light	свет	svet	Noun
The Lion	лев	lev	Noun
The Little	маленькие	malenʹkie	Noun
The Little	маленький	malenʹkij	Noun
The Little	маленькое	malenʹkoe	Noun
The Little Girl	девочка	devočka	Noun
The Long	длинную	dlinnuû	Noun
The Long	длинный	dlinnyj	Noun
The Lord	госпо́дь	gospod'	Noun
The Loud	громкая	gromkaâ	Noun
The Loud	громкий	gromkij	Noun
The Luggage	багаж	bagaž	Noun
The Lunch	обед	obed	Noun
The Main	главное	glavnoe	Noun
The Main	главный	glavnyj	Noun
The Main Production Unit Of An Industrial Enterprise	цех	tseh	Noun
The Main Thing	главное	glavnoe	Noun
The Majority	большинство	bolʹšinstvo	Noun
The Majority	большинство́	bolʹšinstvo	Noun
The Man	мужчина	mužčina	Noun
The Manager	менеджер	menedžer	Noun
The Map	карта	karta	Noun
The Match	матч	matč	Noun
The Medicine	лекарство	lekarstvo	Noun
The Meeting	собрание	sobranie	Noun
The Message	сообщение	soobŝenie	Noun
The Metro	метро	metro	Noun
The Mind	ум	um	Noun
The Mirror	зеркало	zerkalo	Noun
The Mom	мама	mama	Noun
The Money	деньги	denʹgi	Noun
The Monkey	обезьяна	obezʹâna	Noun
The Months	месяцы	mesâcy	Noun
The Moon	луна	luna	Noun
The More	чем больше	chem bol'she	Noun
The More	тем больше	tem bol'she	Noun
The Mosque	мечеть	mečetʹ	Noun
The Mosquito	комар	komar	Noun
The Most	наибо́лее	naibolee	Noun
The Most	са́мый	samyj	Noun
The Most	самый	samyj	Noun
The Mother	мама	mama	Noun
The Mountain	гора	gora	Noun
The Mouse	мышь	myšʹ	Noun
The Movie	фильм	filʹm	Noun
The Movie Theater	кинотеатр	kinoteatr	Noun
The Murderer	убийца	ubijca	Noun
The Museum	музей	muzej	Noun
The Music	музыка	muzyka	Noun
The Musical Note A	ля	lja	Noun
The Name	имя	imâ	Noun
The Name	название	nazvanie	Noun
The Names	имена	imena	Noun
The Neighbors	соседи	sosedi	Noun
The Nest	гнездо	gnezdo	Noun
The Net	сеть	setʹ	Noun
The New	нового	novogo	Noun
The New	новой	novoj	Noun
The New	новые	novye	Noun
The New	новый	novyj	Noun
The New One	новую	novuû	Noun
The Next	следующий	sleduûŝij	Noun
The Night	ночь	nočʹ	Noun
The North	север	sever	Noun
The Notebook	тетрадь	tetradʹ	Noun
The Novel	роман	roman	Noun
The Ocean	океан	okean	Noun
The Office	офис	ofis	Noun
The Old	старая	staraâ	Noun
The Old	старый	staryj	Noun
The Old Man	старик	starik	Noun
The Older	старшая	staršaâ	Noun
The Older	старший	staršij	Noun
The Oldest	старший	staršij	Noun
The One	тому	tomu	Noun
The One Whose	тот	tot	Noun
The One Whose	кто	kto	Noun
The One Whose	чей	chei	Noun
The One Whose	который	kotoryi	Noun
The One Whose	которая	kotoraja	Noun
The One Whose	которые	kotorye	Noun
The One Whose	у которого	u kotorogo	Noun
The One Whose	у которой	u kotoroi	Noun
The One Whose	у которых	u kotoryh	Noun
The Onion	лук	luk	Noun
The Only	еди́нственный	edinstvennyj	Adverb
The Only	единственный	edinstvennyj	Adverb
The Opposition	оппозиция	oppoziciâ	Noun
The Orchestra	оркестр	orkestr	Noun
The Orthodox	православный	pravoslavnyj	Noun
The Other	другой	drugoj	Noun
The Other	другие	drugie	Noun
The Other	другую	druguju	Noun
The Other	другими	drugimi	Noun
The Other	другая	drugaja	Noun
The Other	другом	drugom	Noun
The Other Way Around	наоборо́т	naoborot	Noun
The Outer Visible Part Of Something	вне́шность	vneshnost'	Verb
The Owl	сова	sova	Noun
The Painting	картина	kartina	Noun
The Paper	бумага	bumaga	Noun
The Park	парк	park	Noun
The Patient	пациент	pacient	Noun
The Patronymic	отчество	otčestvo	Noun
The Pen	ручка	ručka	Noun
The Pencil	карандашом	karandašom	Noun
The Penguin	пингвин	pingvin	Noun
The People	людей	lûdej	Noun
The People	люди	lûdi	Noun
The People's	наро́дный	narodnyi	Noun
The Person	человека	čeloveka	Noun
The Person	человеком	čelovekom	Noun
The Pharmacy	аптека	apteka	Noun
The Phone	телефон	telefon	Noun
The Physician	врач	vrač	Noun
The Piano	пианино	pianino	Noun
The Pig	свинья	svinʹâ	Noun
The Pillow	подушка	poduška	Noun
The Pink	розовый	rozovyj	Noun
The Plan	план	plan	Noun
The Plane	самолёт	samolët	Noun
The Plate	тарелка	tarelka	Noun
The Plate	тарелки	tarelki	Noun
The Plates	тарелки	tarelki	Noun
The Plates	тарелок	tarelok	Noun
The Plates Are	тарелки	tarelki	Noun
The Play	пьеса	pʹesa	Noun
The Plot	сюжет	sûžet	Noun
The Poet	поэт	poét	Noun
The Point Is	суть в том	sut' v tom	Noun
The Point Is	дело в том	delo v tom	Noun
The Point Is	что	chto	Noun
The Point Is	смысл в том	smysl v tom	Noun
The Point Is That	дело в том	delo v tom	Noun
The Point Is That	суть в том	sut' v tom	Noun
The Point Is That	смысл в том	smysl v tom	Noun
The Point Is That	важен тот факт	vazhen tot fakt	Noun
The Point Is That	что	chto	Noun
The Police	полиция	policiâ	Noun
The Pond	пруд	prud	Noun
The Population	население	naselenie	Noun
The Portrait	портрет	portret	Noun
The Potatoes	картошка	kartoška	Noun
The Present	подарок	podarok	Noun
The President	президент	prezident	Noun
The Press	печа́ть	pechat'	Verb
The Press	пре́сса	pressa	Verb
The Previous	прошлый	prošlyj	Noun
The Price	цена	cena	Noun
The Principal	директор	direktor	Noun
The Problem	проблема	problema	Noun
The Problem Is	проблема находится	problema nahoditsja	Noun
The Problem Is	проблема	problema	Noun
The Professor	преподаватель	prepodavatelʹ	Noun
The Programmer	программист	programmist	Noun
The Project	проект	proekt	Noun
The Puppy	щенок	ŝenok	Noun
The Queen	королева	koroleva	Noun
The Quiet	тихая	tihaâ	Noun
The Quiet	тихий	tihij	Noun
The Radio	радио	radio	Noun
The Rat	крыса	krysa	Noun
The Reason That	причина	prichina	Noun
The Reason That	причина того	prichina togo	Noun
The Reason That	причина по которой	prichina po kotoroi	Noun
The Reason Why	причина	prichina	Noun
The Reason Why	повод	povod	Noun
The Reason Why	основание	osnovanie	Noun
The Reason Why	мотив	motiv	Noun
The Receptionist	администратор	administrator	Noun
The Red	красная	krasnaâ	Noun
The Red	красное	krasnoe	Noun
The Red	красную	krasnuû	Noun
The Refrigerator	холодильник	holodilʹnik	Noun
The Rest	всё остальное	vse ostal'noe	Adjective
The Rest	остально́е	ostal'noe	Adjective
The Rest Of	остально́й	ostal'noi	Noun
The Rice	рис	ris	Noun
The Right	правильный	pravilʹnyj	Noun
The Right	право	pravo	Noun
The River	река	reka	Noun
The Robot	робот	robot	Noun
The Room	комната	komnata	Noun
The Rooster	петух	petuh	Noun
The Root	корень	korenʹ	Noun
The Rose	роза	roza	Noun
The Round	круглый	kruglyj	Noun
The Rule	правило	pravilo	Noun
The Russian	русский	russkij	Noun
The Salad	салат	salat	Noun
The Salary	зарплата	zarplata	Noun
The Salesperson	продавец	prodavec	Noun
The Salt	соль	solʹ	Noun
The Same	один и тот же	odin i tot že	Noun
The Same	одинаковый	odinakovyj	Noun
The Same	одной	odnoj	Noun
The Same	такой же	takoj že	Noun
The Same	тот же	tot že	Noun
The Same Kind Of	такой же	takoj že	Noun
The Same Way	так же	tak že	Noun
The Sand	песок	pesok	Noun
The Scarf	шарф	šarf	Noun
The Schedule	расписание	raspisanie	Noun
The Sea	море	more	Noun
The Seagull	чайка	čajka	Noun
The Search	поиск	poisk	Noun
The Seat	месте	meste	Noun
The Second	второй	vtoroj	Noun
The Secretary	секретарь	sekretarʹ	Noun
The Sentence	предложение	predloženie	Noun
The Server	официант	oficiant	Noun
The Seventh	седьмой	sedʹmoj	Noun
The Shark	акула	akula	Noun
The Sheep	овца	ovca	Noun
The Sheet	лист	list	Noun
The Shelf	полка	polka	Noun
The Ship	корабль	korablʹ	Noun
The Shirt	рубашка	rubaška	Noun
The Shoes	обувь	obuvʹ	Noun
The Short	короткий	korotkij	Noun
The Shot	выстрел	vystrel	Noun
The Shower	душ	duš	Noun
The Side	борт	bort	Noun
The Sights	достопримечательности	dostoprimechatel'nosti	Noun
The Sign	знак	znak	Noun
The Size	размер	razmer	Noun
The Sky	небо	nebo	Noun
The Small	маленькие	malenʹkie	Noun
The Small	маленький	malenʹkij	Noun
The Small	маленькое	malenʹkoe	Noun
The Smoke	дым	dym	Noun
The Snake	змея	zmeâ	Noun
The Snow	снег	sneg	Noun
The Soap	мыло	mylo	Noun
The Sock	носок	nosok	Noun
The Socks	носки	noski	Noun
The Son	сын	syn	Noun
The Song	песня	pesnâ	Noun
The Sound	звук	zvuk	Noun
The Soup	суп	sup	Noun
The South	юг	ûg	Noun
The Speed	скорость	skorostʹ	Noun
The Spider	паук	pauk	Noun
The Spoon	ложка	ložka	Noun
The Spring	весна	vesna	Noun
The Square	квадрат	kvadrat	Noun
The Square	площадь	ploŝadʹ	Noun
The Squirrel	белка	belka	Noun
The Stadium	стадион	stadion	Noun
The Stairs	лестница	lestnica	Noun
The Star	звезда	zvezda	Noun
The State	государственный	gosudarstvennyj	Noun
The Station	станции	stancii	Noun
The Station	станция	stanciâ	Noun
The Stop	остановка	ostanovka	Noun
The Stop	остановке	ostanovke	Noun
The Store	магазин	magazin	Noun
The Story	история	istoriâ	Noun
The Stove	плита	plita	Noun
The Strange	странный	strannyj	Noun
The Street	улица	ulica	Noun
The Street	улице	ulice	Noun
The Street Is	улица	ulica	Noun
The Student	ученик	učenik	Noun
The Subject Matter	предме́т	predmet	Noun
The Subway	метро	metro	Noun
The Sugar	сахар	sahar	Noun
The Summer	лето	leto	Noun
The Sun	солнце	solnce	Noun
The Sunrise	рассвет	rassvet	Noun
The Supermarket	супермаркет	supermarket	Noun
The Sweaters	свитера	svitera	Noun
The T-Shirt	футболка	futbolka	Noun
The Table	стола	stola	Noun
The Tables	столы	stoly	Noun
The Tail	хвост	hvost	Noun
The Tank	танк	tank	Noun
The Teacher	преподаватель	prepodavatelʹ	Noun
The Team	команда	komanda	Noun
The Teapot	чайник	čajnik	Noun
The Television	телевизор	televizor	Noun
The Temperature	температура	temperatura	Noun
The Temperature Is	температура	temperatura	Noun
The Theater	театре	teatre	Noun
The Thing	то	to	Noun
The Thing	что	chto	Noun
The Thing Is	дело в том	delo v tom	Noun
The Thing Is	что	chto	Noun
The Thing Is That	дело в том	delo v tom	Noun
The Thing Is That	суть в том	sut' v tom	Noun
The Thing Is That	факт в том	fakt v tom	Noun
The Thing Is That	проблема в том	problema v tom	Noun
