English	German	Part of Speech
Sauce	Soße	Noun
Sauce	Säße	Noun
Sauces	Soßen	Noun
Sauces	Würze	Noun
Sauerbraten	Sauerbraten	Noun
Sauerkraut	Sauerkraut	Noun
Sauna	die Sauna	Noun
Sausage	Wurst	Noun
Sausage	Würstchen	Noun
Save	Parade	Noun
Save The Day	das Blatt wenden	Noun
Save The Day	die Lage retten	Noun
Save The Day	die Situation retten	Noun
Saved	gehalten	Verb
Saved	gerettet	Verb
Saved	gesammelt	Verb
Saved	halten	Verb
Saved	retten	Verb
Saved	rettete	Verb
Saved	sammeln	Verb
Saved	verhindern	Verb
Saving	Sparsamkeit	Verb
Savings	Ersparnisse	Noun
Savings Account	Sparkonto	Noun
Saw	aufgesucht	Verb
Saw	aufsuchen	Verb
Saw	begleiten	Verb
Saw	besichtigen	Verb
Saw	betrachten	Verb
Saw	die Säge	Noun
Saw	empfangen	Verb
Saw	erledigen	Verb
Saw	feststellen	Verb
Saw	gesehen	Verb
Saw	sah	Verb
Saw	sahen	Verb
Saw	sprachen	Verb
Saw	Säge	Verb
Saw	verabschieden	Verb
Saxophone	Saxophon	Noun
Say	Sagt	Noun
Say	Sprichst	Noun
Saying	der Spruch	Noun
Saying	Spruch	Noun
Scale	die Schale	Noun
Scale	Schale	Noun
Scale	Skala	Noun
Scale	Waage	Noun
Scales	Schuppen	Noun
Scam	Abzocke	Noun
Scam	Betrug	Noun
Scam	Betrugs	Noun
Scam	Betrugsmasche	Noun
Scam	die Täuschung	Noun
Scam	Schummel	Noun
Scam	Täuschung	Noun
Scammer	Betrüger	Noun
Scandal	Skandal	Noun
Scanned	scannen	Verb
Scanner	der Scanner	Noun
Scanners	der Scanner	Noun
Scanners	Scanner	Noun
Scarcely	kaum	Adverb
Scared	Angst	Verb
Scared	eingeschüchtert	Verb
Scared	verängstigte	Verb
Scared	verängstigtes	Verb
Scarf	die Schale	Noun
Scarf	Schal	Noun
Scarf	Schale	Noun
Scaring	erschrecken	Verb
Scarves	die Schale	Noun
Scarves	Schale	Noun
Scarves	Schals	Noun
Scary Story	Angstgeschichte	Noun
Scary Story	Gruselgeschichte	Noun
Scary Story	Horrorgeschichte	Noun
Scary Story	Schauergeschichte	Noun
Scary Story	Schreckensgeschichte	Noun
Scary Story	Spukgeschichte	Noun
Scatterbrain	Träumer	Noun
Scene	Anblick	Noun
Scene	Auftritt	Noun
Scene	Aussicht	Noun
Scene	Bild	Noun
Scene	Bildern	Noun
Scene	Bühnenbild	Noun
Scene	das Bühnenbild	Noun
Scene	der Auftritt	Noun
Scene	der Schauplatz	Noun
Scene	die Aussicht	Noun
Scene	die Sicht	Noun
Scene	die Szene	Noun
Scene	Geschehens	Noun
Scene	Schauplatz	Noun
Scene	Schauplätze	Noun
Scene	Szene	Noun
Scenery	die Landschaft	Noun
Scenery	Landschaft	Noun
Scenic Overlook	Aussichtspunkt	Noun
Scenic Route	Umweg	Noun
Scent	der Duft	Noun
Scent	der Geruch	Noun
Scent	die Spur	Noun
Scent	Duft	Noun
Scent	Geruch	Noun
Scent	Parfüm	Noun
Scent	Spur	Noun
Scented	aromatisch	Verb
Scented	Duftkerze	Verb
Scented Candle	Duftkerze	Noun
Schadenfreude	Schadenfreude	Noun
Schedule	Agenda	Noun
Schedule	Arbeitsplan	Noun
Schedule	der Zeitplan	Noun
Schedule	Fahrplan	Noun
Schedule	Programm	Noun
Schedule	Stundenplan	Noun
Schedule	Terminplan	Noun
Schedule	Wochenplan	Noun
Schedule	Zeitleiste	Noun
Schedule	Zeitplan	Noun
Schedule	Zeitrahmen	Noun
Scheduling	Planung	Verb
Scheduling Clash	Terminkonflikt	Noun
Scheduling Conflict	Terminkonflikt	Noun
Schmitt	Schmitt	Noun
Schnapps	Likör	Noun
Schnitzel	Schnitzel	Noun
Schnitzels	Schnitzel	Noun
Scholar	der Forscher	Noun
Scholar	Forscher	Noun
Scholarship	das Stipendium	Noun
Scholarship	Stipendium	Noun
School	Schule	Noun
School Attendance Requirement	die Schulpflicht	Noun
School Attendance Requirement	Schulpflicht	Noun
School Bag	der Schulranzen	Noun
School Bag	Schulranzen	Noun
School Bag	Schultasche	Noun
School Break	Schulferien	Noun
School Bus	Schulbus	Noun
School Commute	Schulweg	Noun
School Counselor	Berufsberater	Noun
School Friend	der Schulfreund	Noun
School Grounds	der Schulhof	Noun
School Grounds	Schulhof	Noun
School Holidays	Schulferien	Noun
School Journey	Schulweg	Noun
School Lunch	Pausenbrot	Noun
School Night	Schultagabend	Noun
School Night	Schultagsabend	Noun
School Obligation	die Schulpflicht	Noun
School Obligation	Schulpflicht	Noun
School Playground	der Schulhof	Noun
School Playground	Schulhof	Noun
School Project	Schulprojekt	Noun
School Route	Schulweg	Noun
School Social Worker	Sozialarbeiter	Noun
School Start	Schulbeginn	Noun
School Stress	Schulstress	Noun
School Vacation	Schulferien	Noun
School's	Schule	Noun
Schoolbag	Schultasche	Noun
Schoolmate	der Schulfreund	Noun
Schoolroom	Klassenraum	Noun
Schools'	Schule	Noun
Schoolyard	der Schulhof	Noun
Schoolyard	Schulhof	Noun
Schönbrunn Palace	Schloss Schönbrunn	Noun
Science	die Wissenschaft	Noun
Science	Naturwissenschaften	Noun
Science	Wissenschaft	Noun
Scientist	der Forscher	Noun
Scientist	Forscher	Noun
Scientist	Forschers	Noun
Scientist	Wissenschaftler	Noun
Scientist	Wissenschaftlerin	Noun
Scientist	Wissenschaftlers	Noun
Scion	die Geschäftsreise	Noun
Scion	Geschäftsreise	Noun
Scissors	Schere	Noun
Scoop	Schaufel	Noun
Scooter	Motorroller	Noun
Scooter	Roller	Noun
Scope	der Spielraum	Noun
Scope	Spielraum	Noun
Scope	Teleskop	Noun
Score	das Spiel	Noun
Score	Grund	Noun
Score	Hit	Noun
Score	Note	Noun
Score	Punktestand	Noun
Score	Schießen	Noun
Score	Spiel	Noun
Score	Spielstand	Noun
Score	Spielstände	Noun
Score	Zeitpunkt	Noun
Scoreboard	Punktestand	Noun
Scored	geschossen	Verb
Scored	Grund	Verb
Scored	zählen	Verb
Scoring	punkten	Verb
Scoring System	das Notensystem	Noun
Scoring System	Notensystem	Noun
Scotland	Schottland	Noun
Scouts	Pfadfinder	Noun
Scrambled	mischen	Verb
Scrambled Eggs	Rührei	Noun
Scrambled Eggs	Rühreier	Noun
Scrape	Schürfwunde	Noun
Scrape	Wunde	Noun
Scratch	Schürfwunde	Noun
Scream	der Schrei	Noun
Scream	heulen	Verb
Scream	quietschen	Verb
Scream	Schrei	Noun
Screamed	geschrien	Verb
Screen	Bildschirm	Noun
Screen	die Leinwand	Noun
Screen	Leinwand	Noun
Screen	Sieb	Noun
Screen Capture	Screenshot	Noun
Screen Grab	Screenshot	Noun
Screen Shot	Screenshot	Noun
Screen Time	Bildschirmzeit	Noun
Screenshot	Screenshot	Noun
Screenshots	Screenshot	Noun
Script	Buch	Noun
Script	Buchhaltung	Noun
Script	die Handschrift	Noun
Script	Drehbuch	Noun
Script	Schrift	Noun
Script	Skript	Noun
Script	Taschenbuch	Noun
Script	Textes	Noun
Script	Wörterbüchern	Noun
Scrub	Schrubben	Noun
Scrunchie	Haargummi	Noun
Scrutinize	hinterfragen	Verb
Scrutiny	Beobachtung	Noun
Scrutiny	die Beobachtung	Noun
Sculptor	Bildhauer	Noun
Sculpture	Bildhauerei	Noun
Sculpture	die Skulptur	Noun
Sculpture	Plastik	Noun
Sculpture	Skulptur	Noun
Sea	Ozean	Noun
Sea Level	Meeresspiegel	Noun
Seafood	Meeresfrüchte	Noun
Seal	das Siegel	Noun
Seal	Siegel	Noun
Seamlessly	harmonisch	Adverb
Seamlessly	nahtlos	Adverb
Search	die Suche	Noun
Search	die Wohnungssuche	Noun
Search	Suche	Noun
Search	Wohnungssuche	Noun
Search Engine	die Suchmaschine	Noun
Search Engine	Suchmaschine	Noun
Searching	durchsuchen	Verb
Seashell	Muschel	Noun
Season	die Saison	Noun
Season	Jahreszeit	Noun
Season	Saison	Noun
Season	Staffel	Noun
Season	Würze	Noun
Season Pass	Dauerkarte	Noun
Season Pass	Dauerkarten	Noun
Season Pass	Jahreskarte	Noun
Season Pass	Saisonkarte	Noun
Season Ticket	Abo	Noun
Season/am Seasoning	Würze	Noun
Seasonal	Saisonarbeiter	Noun
Seasonal	Saisonarbeiterin	Noun
Seat	der Sitzplatz	Noun
Seat	Platz	Noun
Seat	Sitz	Noun
Seat	Sitzplatz	Noun
Seatbelt	Sicherheitsgurt	Noun
Seatbelts	Sicherheitsgurt	Noun
Seated	die Quelle	Noun
Seated	Gesäßpartie	Noun
Seated	Herd	Noun
Seated	Hosenboden	Noun
Seated	Mandat	Noun
Seated	Platz	Noun
Seated	Quelle	Noun
Seated	Sitz	Noun
Seated	Sitzfläche	Noun
Seated	Sitzplätze bieten	Noun
Seated	Stätte	Noun
Seated	unterbringen	Verb
Seating	der Sitzplatz	Noun
Seating	Sitzordnung	Noun
Seating	Sitzplatz	Noun
Seating	Sitzplatzes	Noun
Seating	Sitzplätze	Noun
Seats	Plätze	Noun
Seats	Sitzplätze	Noun
Secateurs	Gartenschere	Noun
Seclusion	die Einsamkeit	Noun
Seclusion	Einsamkeit	Noun
Second	Sekunde	Noun
Second	Zweiten	Noun
Second	Zweitens	Noun
Second Language	die Fremdsprache	Noun
Secondary Effect	die Nebenwirkung	Noun
Secondary Effect	Nebenwirkung	Noun
Secondhand Clothing	Secondhandkleidung	Noun
Secondly	zweitens	Adverb
Secret	das Geheimnis	Noun
Secret	Geheimnis	Noun
Secret Agent	Agent	Noun
Secret Agent	Geheimagent	Noun
Secret Agent	Geheimagentin	Noun
Secret Agent	Spion	Noun
Secret Agent	Spionin	Noun
Secretariat	Büro	Noun
Secretariat	die Verwaltung	Noun
Secretariat	Sekretariat	Noun
Secretariat	Verwaltung	Noun
Secretaries	Sekretär	Noun
Secretary	Minister	Noun
Secretary	Sekretär	Noun
Secretary Of State	Minister	Noun
Secretary's	Sekretariat	Noun
Secretary's	Sekretär	Noun
Secretly	heimlich	Adverb
Secrets	das Geheimnis	Noun
Secrets	Geheimnis	Noun
Section	Absatzes	Noun
Section	Abschnitten	Noun
Section	Abteilung	Noun
Section	Bereich	Noun
Section	das Gebiet	Noun
Section	der Absatz	Noun
Section	der Bereich	Noun
Section	der Schnitt	Noun
Section	der Zweig	Noun
Section	Einheiten	Noun
Section	Gebiet	Noun
Section	Kapitels	Noun
Section	Schnitt	Noun
Section	Schnitte	Noun
Sector	der Zweig	Noun
Sector	Sektor	Noun
Sector	Zweig	Noun
Security	die Sicherheit	Noun
Security	Sicherheit	Noun
Security	Sicherung	Noun
Security Camera	die Überwachungskamera	Noun
Security Camera	Überwachungskamera	Noun
Security Check	Sicherheitskontrolle	Noun
Security Checkpoint	Sicherheitskontrolle	Noun
Security Control	Sicherheitskontrolle	Noun
Security Guard	Sicherheitsbeamter	Noun
Security Guard	Sicherheitsdienst	Noun
Security Guard	Sicherheitskraft	Noun
Security Guard	Wachmann	Noun
Security Guard	Wachperson	Noun
Security Inspection	Sicherheitskontrolle	Noun
Security Risk	Sicherheitsrisiko	Noun
Security Screening	Sicherheitskontrolle	Noun
Security Threat	Sicherheitsrisiko	Noun
See	aufsuchen	Verb
See	beobachten	Verb
See	betrachten	Verb
See	gesehen	Verb
See	gucke	Verb
See	gucken	Verb
See	sah	Verb
See	sehe	Verb
See	sehen	Verb
See	seht	Verb
See	Sehvermögen	Verb
See	siehe	Verb
See	siehst	Verb
See	sieht	Verb
Seed	Apfelsamen	Noun
Seed	Kerne	Noun
Seed	Saatgut	Noun
Seed	Samen	Noun
Seeds	Samen	Noun
Seeing	begleiten	Verb
Seeing	betrachten	Verb
Seeing	einsehen	Verb
Seeing	empfangen	Verb
Seeing	erleben	Verb
Seeing	erledigen	Verb
Seeing	feststellen	Verb
Seeing	sehe	Verb
Seeing	Sehvermögen	Verb
Seeing	siehst	Verb
Seeing	sieht	Verb
Seeing	verabschieden	Verb
Seek	die Suche	Noun
Seeking	suchen	Verb
Seemed	geschienen	Verb
Seen	aufgesucht	Verb
Seen	aufsuchen	Verb
Seen	begleiten	Verb
Seen	besichtigen	Verb
Seen	besichtigt	Verb
Seen	betrachten	Verb
Seen	einsehen	Verb
Seen	empfangen	Verb
Seen	erledigen	Verb
Seen	erledigt	Verb
Seen	feststellen	Verb
Seen	gesehen	Verb
Seen	sehen	Verb
Seen	verabschieden	Verb
Sein	angewiesen	Verb
Sein To Be Born	geboren	Verb
Sein To Be Forced	gezwungen	Verb
Select	Auswählen	Noun
Select	Markiere	Noun
Select	Wähle	Noun
Select	Wählst	Noun
Select	Wählt	Noun
Select/am Selecting	Filter	Noun
Selection	Auswahl	Noun
Self	Ich	Noun
Self	Meiner	Noun
Self	Mir	Noun
Self	Selbst	Noun
Self-Assurance	das Selbstbewusstsein	Noun
Self-Assurance	Selbstbewusstsein	Noun
Self-Assured	selbstbewusst	Verb
Self-Assured	selbstsicher	Verb
Self-Awareness	das Selbstbewusstsein	Noun
Self-Awareness	Selbstbewusstsein	Noun
Self-Care	Selbstfürsorge	Noun
Self-Confidence	das Selbstbewusstsein	Noun
Self-Confidence	das Selbstvertrauen	Noun
Self-Confidence	Selbstbewusstsein	Noun
Self-Confidence	Selbstvertrauen	Noun
Self-Discipline	die Disziplin	Noun
Self-Discipline	Disziplin	Noun
Self-Employed	selbstständig	Verb
Self-Esteem	das Selbstbewusstsein	Noun
Self-Esteem	Selbstbewusstsein	Noun
Self-Help Book	Selbsthilfebuch	Noun
Self-Help Guide	Selbsthilfebuch	Noun
Self-Help Manual	Selbsthilfebuch	Noun
Self-Improvement	die Weiterbildung	Noun
Self-Improvement	Weiterbildung	Noun
Self-Sacrificing	selbstlos	Verb
Self-Serve	Selbstbedienung	Noun
Self-Service	Selbstbedienung	Noun
Self-Sufficiency	Unabhängigkeit	Noun
Self-Test	Schnelltest	Noun
Selfie	Selfie	Noun
Selfishly	egoistisch	Adverb
Selflessly	selbstlos	Adverb
Sell	der Verkauf	Noun
Sell	Verkaufen	Noun
Sell	Verkaufst	Noun
Sell-By Date	Mindesthaltbarkeitsdatum	Noun
Seller	Händler	Noun
Seller	Verkäufer	Noun
Selling	verkaufen	Verb
Semen	Samen	Noun
Semester	Semesters	Noun
Semesters	Semester	Noun
Seminar	das Seminar	Noun
Seminar Room	Seminarraum	Noun
Seminars	die Konferenz	Noun
Seminars	Konferenz	Noun
Sender	Absender	Noun
Sender's	Absender	Noun
Sending	schicken	Verb
Sending	senden	Verb
Sending	verabschieden	Verb
Sending	verschicken	Verb
Senior	das Hoch	Noun
Senior	die Vorgesetzte	Noun
Senior	Oberstufenschüler	Noun
Senior	Senioren	Noun
Senior	Vorgesetzte	Noun
Senior	Ältere	Noun
Senior Citizens	Senioren	Noun
Seniors	Senioren	Noun
Sensation	Aufsehen	Noun
Sensation	das Aufsehen	Noun
Sensation	das Gefühl	Noun
Sensation	die Sensation	Noun
Sensation	Empfinden	Noun
Sensation	Gefühl	Noun
Sense	das Gefühl	Noun
Sense	der Sinn	Noun
Sense	der Verstand	Noun
Sense	Gefühl	Noun
Sense	Sinn	Noun
Sense	spüren	Verb
Sense	Verstand	Noun
Sense Of Humor	Sinn für Humor	Noun
Sense Of Self	das Selbstbewusstsein	Noun
Sense Of Self	Selbstbewusstsein	Noun
Sense Of Smell	der Geruch	Noun
Sense Of Smell	Geruch	Noun
Sense Of Taste	Geschmack	Noun
Senses	Gefühle	Noun
Sensibly	sinnvoll	Adverb
Sensitively	sensibel	Adverb
Sentence	der Satz	Noun
Sentence	die Strafe	Noun
Sentence	Satz	Noun
Sentence	Strafe	Noun
Sentence	Urteil	Noun
Sentences	die Strafe	Noun
Sentences	Strafe	Noun
Sentiment	das Gefühl	Noun
Sentiment	Gefühl	Noun
Sentimental Film With An Idealized Regional	der Heimatfilm	Noun
Sentiments	Gefühle	Noun
Separate	Sonder	Noun
Separately	getrennt	Adverb
Separation	Abfalltrennung	Noun
Separation	die Trennung	Noun
Separation	Mülltrennung	Noun
Separation	Trennung	Noun
September	September	Noun
Sequel	die Fortsetzung	Noun
Sequel	Fortsetzung	Noun
Sequence	die Folge	Noun
Sequence	die Reihenfolge	Noun
Sequence	Folge	Noun
Sequence	Reihenfolge	Noun
Sequence Of Moves	Zugreihenfolge	Noun
Series	die Reihe	Noun
Series	Reihe	Noun
Series	Reihen	Noun
Series	Serie	Noun
Series	Serien	Noun
Serious	das Kapital	Noun
Serious	Ernst	Noun
Serious	Kapital	Noun
Serious	Schlimmste	Noun
Seriously	Ernst	Adverb
Seriously	ernst	Adverb
Seriously	ernstlich	Adverb
Seriously	schwer	Adverb
Seriousness	Ernst	Noun
Serve	Dient	Noun
Server	Bedienung	Noun
Server	Kellner	Noun
Server	Kellnerin	Noun
Server	Kellnerinnen	Noun
Servers	Kellner	Noun
Service	Aufgabe	Noun
Service	Bedienung	Noun
Service	die Dienstleistung	Noun
Service	die Leistung	Noun
Service	Dienstleistung	Noun
Service	Leistung	Noun
Services	Aufschlag	Noun
Services	Bedienung	Noun
Serving	Ausgabe	Verb
Session	die Sitzung	Noun
Session	Kirchenvorstand	Noun
Session	Sitzung	Noun
Session	Studienjahr	Noun
Session	Treffen	Noun
Session	Vorlesungsperiode	Noun
Set	anschlägt	Verb
Set	decken	Verb
Set	deckst	Verb
Set	Deckt	Verb
Set	deckt	Verb
Set	die Kulisse	Noun
Set	eingedeckt	Verb
Set	fernsehers	Verb
Set	festlegen	Verb
Set	festlegt	Verb
Set	festlegten	Verb
Set	fix	Verb
Set	formuliere	Verb
Set	formulierten	Verb
Set	gedeckt	Verb
Set	Kulisse	Verb
Set	Lege	Verb
Set	Legst	Verb
Set	Lost	Verb
Set	Pflanzt	Verb
Set	pflanzten	Verb
Set	Richte	Verb
Set	richte	Verb
Set	Setze	Verb
Set	Setzt	Verb
Set	startklar	Verb
Set	Sätzen	Verb
Set	untergegangen	Verb
Set	Verbindliche	Verb
Set In Front Of	davorsetzen	Verb
Set Meal	Menü	Noun
Set To	ansetzen	Verb
Set To	antreten	Verb
Set To	beginnen	Verb
Set To	bereitmachen	Verb
Set To	einstellen	Verb
Set To	festlegen	Verb
Set To	losgehen	Verb
Set To	starten	Verb
Set To	stattfinden	Verb
Set To	vorbereiten	Verb
Setback	der Misserfolg	Noun
Setback	die Niederlage	Noun
Setback	Enttäuschung	Noun
Setback	Misserfolg	Noun
Setback	Niederlage	Noun
Setback	Rückschlag	Noun
Setbacks	das Hindernis	Noun
Setbacks	die Schwierigkeit	Noun
Setbacks	Hindernis	Noun
Setbacks	Probleme	Noun
Setbacks	Rückschlag	Noun
Setbacks	Schwierigkeit	Noun
Sets	absetzen	Verb
Sets	aufbauen	Verb
Sets	aufbrechen	Verb
Sets	aufstellen	Verb
Sets	auslösen	Verb
Sets	Bau	Verb
Sets	das Gerät	Noun
Sets	die Haltung	Noun
Sets	einleiten	Verb
Sets	einplanen	Verb
Sets	einsetzen	Verb
Sets	Gerät	Verb
Sets	Haltung	Verb
Sets	reserviert	Verb
Setting	die Einstellung	Noun
Setting	Einstellung	Noun
Settings	Einstellungen	Noun
Settle	abrechnen	Verb
Settle	ansiedeln	Verb
Settle	ausgleichen	Verb
Settle	aushandeln	Verb
Settle	ausräumen	Verb
Settle	begleiche/begleich	Verb
Settle	begleichen	Verb
Settle	beilegen	Verb
Settle	beruhige	Verb
Settle	beruhigen	Verb
Settle	beseitige	Verb
Settle	beseitigen	Verb
Settle	besiedele/besiedle/besiedl/besiedel	Verb
Settle	besiedeln	Verb
Settle	bezahle/bezahl	Verb
Settle	bezahlen	Verb
Settle	entscheide/entscheid	Verb
Settle	entscheide/entscheid über	Verb
Settle	entscheiden	Verb
Settle	entscheiden über	Verb
Settle	erfülle/erfüll	Verb
Settle	erfüllen	Verb
Settle	festlegen	Verb
Settle	handele/handle/handl/handel	Verb
Settle	klären	Verb
Settle	plane/plan	Verb
Settle	planen	Verb
Settle	regele/regle/regl/regel	Verb
Settle	regeln	Verb
Settle	räume aus/räum aus	Verb
Settle	Setz	Verb
Settle	Setzen	Verb
Settle	setzen	Verb
Settle	setzt	Verb
Settle	sich ablagern	Verb
Settle	sich absetzen	Verb
Settle	sich absetzen lassen	Verb
Settle	sich ansiedeln	Verb
Settle	sich beruhigen	Verb
Settle	sich eingewöhnen	Verb
Settle	sich einigen	Verb
Settle	sich einigen auf	Verb
Settle	sich einleben	Verb
Settle	sich entscheiden für	Verb
Settle	sich gewöhnen	Verb
Settle	sich klären	Verb
Settle	sich konzentrieren	Verb
Settle	sich legen	Verb
Settle	sich niederlassen	Verb
Settle	sich senken	Verb
Settle	sich setzen	Verb
Settle	sich zufrieden geben mit	Verb
Settle	sich zurücklehnen	Verb
Settle	siedele/siedle/siedl/siedel	Verb
Settle	sinke/sink	Verb
Settle	sinken	Verb
Settle	unterbringe/unterbring	Verb
Settle	unterbringen	Verb
Settle	verdaue/verdau	Verb
Settle	verdauen	Verb
Settlement	die Regelung	Noun
Settlement	Einigung	Noun
Settlement	Regelung	Noun
Settlement	Siedlung	Noun
Settlement	Zuwanderung	Noun
Severe	das Hoch	Noun
Severities	die Stärke	Noun
Severities	Stärke	Noun
Severity	die Stärke	Noun
Severity	Stärke	Noun
Sex	Geschlecht	Noun
Sex Education	Sexualkunde	Noun
Sexual Education	Sexualkunde	Noun
Sexuality Education	Sexualkunde	Noun
Shade	der Schatten	Noun
Shade	der Ton	Noun
Shade	Farbton	Noun
Shade	Schatten	Noun
Shade	Ton	Noun
Shades	der Schatten	Noun
Shades	Schatten	Noun
Shadow	der Schatten	Noun
Shadow	Schatten	Noun
Shadow	Schemen	Noun
Shadow	überschatten	Verb
Shadows	der Schatten	Noun
Shadows	Schatten	Noun
Shady	Links	Noun
Shake	Beutel	Noun
Shake Hands	die Hand geben	Noun
Shake Out	Beutel	Noun
Shaken	abgeschüttelt	Verb
Shaken	abschütteln	Verb
Shaken	aufgeschüttelt	Verb
Shaken	aufrütteln	Verb
Shaken	aufschütteln	Verb
Shaken	ausbreiten	Verb
Shaken	ausgebreitet	Verb
Shaken	ausgenommen	Verb
Shaken	ausgeschüttelt	Verb
Shaken	ausnehmen	Verb
Shaken	ausschütteln	Verb
Shaken	beben	Verb
Shaken	durchgeschüttelt	Verb
Shaken	durchschütteln	Verb
Shaken	Erdbeben	Verb
Shaken	erschüttern	Verb
Shaken	erschüttert	Verb
Shaken	gebebt	Verb
Shaken	geschockt	Verb
Shaken	geschockte	Verb
Shaken	geschockter	Verb
Shaken	geschwankt	Verb
Shaken	geschüttelt	Verb
Shaken	gewackelt	Verb
Shaken	gezittert	Verb
Shaken	herunterschütteln	Verb
Shaken	kampieren	Verb
Shaken	kampiert	Verb
Shaken	schwanken	Verb
Shaken	schütteln	Verb
Shaken	sich akklimatisieren	Verb
Shaken	sich die Hand geben	Verb
Shaken	sich eingewöhnen	Verb
Shaken	sich einlaufen	Verb
Shaken	umgekrempelt	Verb
Shaken	umkrempeln	Verb
Shaken	wackeln	Verb
Shaken	zittern	Verb
Shaking	schütteln	Verb
Shall	der Wille	Noun
Shall	Wille	Noun
Shame	Scham	Noun
Shampoo	das Shampoo	Noun
Shape	der Zustand	Noun
Shape	Form	Noun
Shape	Verfassung	Noun
Shape	Zustand	Noun
Shaped	ausgebildet	Verb
Shaped	formen	Verb
Shaped	gestalten	Verb
Shapes	gestalten	Verb
Share	Anteil	Verb
Share	aufteilen	Verb
Share	Beitrag	Verb
Share	der Anteil	Noun
Share	der Beitrag	Noun
Share	teil	Verb
Share	teile	Verb
Share	teilen	Verb
Share	teilst	Verb
Share	teilt	Verb
Shared	aufteilen	Verb
Shared	gemeinsam	Verb
Shared Apartment	die Wohngemeinschaft	Noun
Shared Apartment	Wohngemeinschaft	Noun
Shared Custody	Sorgerecht	Noun
Shared Feature	Gemeinsamkeit	Noun
Shared Room	Mehrbettzimmer	Noun
Shares	aufteilen	Verb
Shark	der Hai	Noun
Shark	Hai	Noun
Shark	Haien	Noun
Shark	Haifisch	Noun
Sharpen	Schärfe	Noun
Shave	Rasieren	Noun
Shave	Rasierst	Noun
Shave	Rasiert	Noun
Shaver	Rasierer	Noun
Shavers	Rasierer	Noun
Shawl	Tuch	Noun
She	Ihr	Noun
She	Sie	Noun
She's	Sie	Noun
Shears	Schere	Noun
Shed	Weinflasche	Noun
Shed/am Shedding	Weinflasche	Noun
Sheep	das Schaf	Noun
Sheep	Schaf	Noun
Sheep	Schafe	Noun
Sheet	Bettlaken	Noun
Sheet	Betttuch	Noun
Sheet	Blatt	Noun
Sheet	das Blatt	Noun
Sheet	Laken	Noun
Shelf	das Fach	Noun
Shelf	das Regal	Noun
Shelf	Fach	Noun
Shelf	Regal	Noun
Shelf	Regalbrett	Noun
Shell	die Schale	Noun
Shell	Muschel	Noun
Shell	Schale	Noun
Shelter	Schutz	Noun
Shelter	Unterbringung	Noun
Shelter	Unterschlupf	Noun
Shelves	das Fach	Noun
Shelves	das Regal	Noun
Shelves	Fach	Noun
Shelves	Regal	Noun
Shelves	Regalbretter	Noun
Shelves	Regale	Noun
Shelving	das Regal	Noun
Shelving	Regal	Noun
Shift	der Wandel	Noun
Shift	der Wechsel	Noun
Shift	die Veränderung	Noun
Shift	die Wendung	Noun
Shift	drehen	Verb
Shift	Hängekleid	Noun
Shift	Hänger	Noun
Shift	Kunstgriff	Noun
Shift	rasen	Verb
Shift	Schaltung	Noun
Shift	Schicht	Noun
Shift	Umschaltung	Noun
Shift	verlegen	Verb
Shift	Verschiebung	Noun
Shift	Veränderung	Noun
Shift	Wandel	Noun
Shift	Wechsel	Noun
Shift	Wendung	Noun
Shift Duty	Schichtarbeit	Noun
Shift Labor	Schichtarbeit	Noun
Shift Work	Schichtarbeit	Noun
Shining	glänzend	Verb
Shiny	Glänzende	Noun
Shiny	Glänzendes	Noun
Ship	Schiff	Noun
Ship's	Schiff	Noun
Shipment	Export	Noun
Shipment	Transport	Noun
Shipment Number	Trackingnummer	Noun
Shipping	Versand	Verb
Shipping Address	Lieferadresse	Noun
Shipping Charge	Porto	Noun
Shipping Cost	Porto	Noun
Shipping Service	Lieferdienst	Noun
Shipping Time	die Lieferzeit	Noun
Shipping Time	Lieferzeit	Noun
Ships	Maschine	Noun
Ships	Raumschiff	Noun
Ships	Schiffe	Noun
Shipwreck	Schiffbruch	Noun
Shirt	Hemd	Noun
Shirt's	Hemd	Noun
Shirts	Hemden	Noun
Shock	der Schlag	Noun
Shock	der Schock	Noun
Shock	Erschütterung	Noun
Shock	Hocke	Noun
Shock	Schlag	Noun
Shock	Schock	Noun
Shock	Stoßes	Noun
Shock Absorber	Puffer	Noun
Shock/am Shocking	Schock	Noun
Shocked	der Schlag	Noun
Shocked	der Schock	Noun
Shocked	Erschütterung	Noun
Shocked	Hocke	Noun
Shocked	Schlag	Noun
Shocked	Schock	Noun
Shocking	schockierend	Verb
Shoe	Schuh	Noun
Shoe String	Schnürsenkel	Noun
Shoelace	Schnürsenkel	Noun
Shoes	Schuhe	Noun
Shoes	Schuhen	Noun
Shoot	der Schlag	Noun
Shoot	Dreh	Noun
Shoot	drehen	Verb
Shoot	Filmt	Noun
Shoot	Fotografierst	Noun
Shoot	Fotografiert	Noun
Shoot	Jagd	Noun
Shoot	Schieße	Noun
Shoot	Schießen	Noun
Shoot	Schlag	Noun
Shoot	Trieb	Noun
Shoot	Zweige	Noun
Shooting Star	die Sternschnuppe	Noun
Shooting Star	Sternschnuppe	Noun
Shooting Star Shower	Meteorregen	Noun
Shoots	die Geschäftsreise	Noun
Shoots	Geschäftsreise	Noun
Shop	Boutique	Noun
Shop	der Einkauf	Noun
Shop	die Geschäftsreise	Noun
Shop	Einkauf	Noun
Shop	Einkaufen	Noun
