English	Spanish	Part of Speech
Suntanned	bronceado	Verb
Super	super	Noun
Superb	magnífico	Noun
Superhero	superheroína	Noun
Superhero	superhéroe	Noun
Superhero	superhéroes	Noun
Supermarket	el supermercado	Noun
Supermarket	supermercado	Noun
Supermarkets	supermercado	Noun
Superpower	superpoder	Noun
Superstitious	supersticioso	Noun
Supervisor	alcalde	Noun
Supervisor	alcaldesa	Noun
Supervisor	director	Noun
Supervisor	encargada	Noun
Supervisor	encargado	Noun
Supervisor	mánager	Noun
Supervisor	supervisora	Noun
Supper	cena	Noun
Supper	cene	Noun
Supper	la cena	Noun
Supplementary Tax Return To Correct Mistakes Or Omissions	la declaración complementaria	Noun
Supplier	proveedor	Noun
Supplies	provisiones	Noun
Support	adicional	Noun
Support	admitir	Noun
Support	apoyar	Noun
Support	apoyo	Noun
Support	concurso	Noun
Support	mantenemos	Noun
Support	mantener	Noun
Support	mantengo	Noun
Support	soportar	Noun
Support	tolerar	Noun
Suppose	creer	Noun
Suppose	imaginarse	Noun
Suppose	suponer	Noun
Suppose	supongo	Noun
Supposed To	debería	Noun
Supposed To	deberíamos	Noun
Supposed To	deberían	Noun
Supposed To	deberías	Noun
Supposedly	supuestamente	Adverb
Sure	claro	Noun
Sure	segura	Noun
Sure	seguras	Noun
Sure	seguro	Noun
Sure	seguros	Noun
Surely	seguramente	Adverb
Surely	seguro	Adverb
Surety	garantía	Noun
Surf	navegar	Noun
Surf	surfeamos	Noun
Surf	surfear	Noun
Surf	surfearás	Noun
Surf	surfeo	Noun
Surf	surfeó	Noun
Surfer	surfista	Noun
Surfing	surf	Verb
Surfing	surfeando	Verb
Surfing	surfear	Verb
Surgeon	cirujano	Noun
Surgery	consulta	Noun
Surgery	consultorio	Noun
Surgery	operación	Noun
Surgery	operado	Noun
Surgery	se operó	Noun
Surname	un apellido	Noun
Surprise	imprevisto	Noun
Surprise	sorprenden	Noun
Surprise	sorprender	Noun
Surprise	sorprenderías	Noun
Surprise	sorpresa	Noun
Surprised	sorprender	Verb
Surprised	sorprendida	Verb
Surprised	sorprendidas	Verb
Surprised	sorprendido	Verb
Surprised	sorprendidos	Verb
Surprised	sorprendieron	Verb
Surprised	sorprendimos	Verb
Surprised	sorprendiste	Verb
Surprised	sorprendió	Verb
Surprised	sorprendí	Verb
Surprising	asombrosa	Verb
Surprising	asombroso	Verb
Surprising	sorprendente	Verb
Surrealism	surrealismo	Noun
Surround	encerrado	Noun
Surround	rodean	Noun
Surround	rodeé	Noun
Surrounding	circundante	Verb
Surroundings	entorno	Noun
Survival	supervivencia	Noun
Survive	conservarse	Noun
Survive	escaparían	Noun
Survive	perdura	Noun
Survive	perdurar	Noun
Survive	sobrevive	Noun
Survive	sobreviven	Noun
Survive	sobrevivir	Noun
Survive	sobrevivo	Noun
Survive	supera	Noun
Survive	superar	Noun
Suspect	oler	Noun
Suspect	sospecha	Noun
Suspect	sospechaba	Noun
Suspect	sospechar	Noun
Suspect	sospecharlo	Noun
Suspect	sospecho	Noun
Suspect	sospechosa	Noun
Suspect	sospechoso	Noun
Suspend	colgaba	Noun
Suspend	cuélgala	Noun
Suspend	expulsar	Noun
Suspend	suspenda	Noun
Suspend	suspendan	Noun
Suspend	suspendida	Noun
Suspense	suspenso	Noun
Suspicion	corazonada	Noun
Suspicion	sospecha	Noun
Suspicious	sospechosa	Noun
Suspicious	sospechosas	Noun
Suspicious	sospechoso	Noun
Sustainable	sostenible	Noun
Sustainable	sustentable	Noun
Swallow	tragar	Noun
Swam	bañábamos	Noun
Swam	bañó	Noun
Swam	nadamos	Noun
Swam	nadaron	Noun
Swam	nadábamos	Noun
Swam	nadé	Noun
Swam	nadó	Noun
Swam	se bañaban	Noun
Swarm	nube	Noun
Swear	juro	Noun
Swear	presta	Noun
Swear	prestar	Noun
Sweat	sudar	Noun
Sweat	sudara	Noun
Sweat	sudo	Noun
Sweater	el jersey	Noun
Sweater	el suéter	Noun
Sweater	pulóver	Noun
Sweater	suéter	Noun
Sweatshirt	la sudadera	Noun
Sweatshirt	sudadera	Noun
Sweep	alcance	Noun
Sweep	apartar	Noun
Sweep	arrastra	Noun
Sweep	arrastrar	Noun
Sweep	aspa	Noun
Sweep	barran	Noun
Sweep	barras	Noun
Sweep	barre	Noun
Sweep	barrer	Noun
Sweep	barres	Noun
Sweep	barrida	Noun
Sweep	barrido	Noun
Sweep	barriera	Noun
Sweep	barrieras	Noun
Sweep	desechar	Noun
Sweep	deshollinador	Noun
Sweep	deshollinadora	Noun
Sweep	deshollinar	Noun
Sweep	empuje	Noun
Sweep	erradicar	Noun
Sweep	extensión	Noun
Sweep	limpiar	Noun
Sweep	peina	Noun
Sweep	peinado	Noun
Sweep	peinar	Noun
Sweep	rastrea	Noun
Sweep	rastrear	Noun
Sweep	rastreo	Noun
Sweep	recoger	Noun
Sweep	recorre	Noun
Sweep	recorrer	Noun
Sweep	roza	Noun
Sweep	rozar	Noun
Sweeping	barrer	Verb
Sweeping	barriendo	Verb
Sweet	dulce	Noun
Sweet	dulces	Noun
Sweet	golosina	Noun
Sweet	paletas	Noun
Sweet	tierno	Noun
Sweet Bread Baked For Day Of The Dead	el pan de muerto	Noun
Sweetener	el edulcorante	Noun
Sweetie	perro	Noun
Sweets	agradable	Noun
Sweets	agradables	Noun
Sweets	amoroso	Noun
Sweets	amorosos	Noun
Sweets	azucarado	Noun
Sweets	caramelo	Noun
Sweets	caramelos	Noun
Sweets	dulce	Noun
Sweets	dulces	Noun
Sweets	melodioso	Noun
Sweets	melodiosos	Noun
Sweets	mono	Noun
Sweets	monos	Noun
Sweets	placeres	Noun
Sweets	postre	Noun
Sweets	postres	Noun
Sweets	rico	Noun
Sweets	ricos	Noun
Swept	barrido	Noun
Swept	barrieras	Noun
Swept	barrieron	Noun
Swept	barrí	Noun
Swept	barría	Noun
Swerve	efecto	Noun
Swift	rápido	Noun
Swiftly	rápido	Adverb
Swim	bañarme	Noun
Swim	bañarse	Noun
Swim	bañó	Noun
Swim	me bañaba	Noun
Swim	nadamos	Noun
Swim	nadan	Noun
Swim	nadar	Noun
Swim	nadaron	Noun
Swim	nadas	Noun
Swim	nadaste	Noun
Swim	nade	Noun
Swim	nademos	Noun
Swim	nado	Noun
Swim	nadé	Noun
Swimmer	nadador	Noun
Swimmer	nadadora	Noun
Swimming	nadando	Verb
Swimming	nadar	Verb
Swimming	natación	Verb
Swimming Pool	piscina	Noun
Swimsuit	traje de baño	Noun
Swimsuits	traje de baño	Noun
Swing	columpio	Verb
Swipe	baile	Noun
Swipe	levantarse	Noun
Swiping	bailando	Verb
Switch	apagar	Noun
Switch	apagarse	Noun
Switch	cambian	Noun
Switch	cambiar	Noun
Switch	cambiarlos	Noun
Switch	cambiarán	Noun
Switch	cambiarán de	Noun
Switch	cambiarás	Noun
Switch	cambiarás de	Noun
Switch	cambias	Noun
Switch	cámbiate	Noun
Switch	desconectar	Noun
Switch	desviarán	Noun
Switch	encender	Noun
Switch	encenderse	Noun
Switch	enchufe	Noun
Switch	intercambiado	Noun
Switch	intercambian	Noun
Switch	intercambiar	Noun
Switch	intercambiarán	Noun
Switch	intercambias	Noun
Switch	intercambio	Noun
Switch	interruptor	Noun
Switch	metámonos	Noun
Switch	poner	Noun
Switch	ponerse	Noun
Switch	pongan	Noun
Switch	prender	Noun
Switch	prenderse	Noun
Switch	pusimos	Noun
Switch	trueque	Noun
Switch Off	apagar	Noun
Switch Off	para	Noun
Switches Off	para	Noun
Switfly	rápidamente	Adverb
Swollen	hinchado	Noun
Sword	espada	Noun
Swum	hacer	Noun
Swum	hecho	Noun
Swum	nadado	Noun
Swum	nadar	Noun
Symbol	símbolo	Noun
Symbolism	el simbolismo	Noun
Symbols	los símbolos	Noun
Symmetry	la simetría	Noun
Symptom	el síntoma	Noun
Symptom	síntoma	Noun
Symptoms	síntoma	Noun
Synagogue	sinagoga	Noun
Synagogue	una sinagoga	Noun
Synagogue's	sinagoga	Noun
Syrup	jarabe	Noun
System	el sistema	Noun
System	red	Noun
System	sistema	Noun
T-Shirt	camiseta	Noun
T-Shirt	la camiseta	Noun
T-Shirt	playera	Noun
T-Shirt	playeras	Noun
T-Shirts	camiseta	Noun
Table	la mesa	Noun
Table	liga	Noun
Table	mesa	Noun
Table	presentar	Noun
Table Mat	individual	Noun
Table Read	el ensayo de mesa	Noun
Table Talk	sobremesa	Noun
Tablecloth	bayeta	Noun
Tablecloth	el mantel	Noun
Tablecloth	fregón	Noun
Tablecloth	género	Noun
Tablecloth	limpión	Noun
Tablecloth	mantel	Noun
Tablecloth	paño	Noun
Tablecloth	tejido	Noun
Tablecloth	tela	Noun
Tablecloth	trapo	Noun
Tablecloth	un mantel	Noun
Tables	presentar	Noun
Tablespoon	cucharada	Noun
Tablet	píldora	Noun
Tablet	tableta	Noun
Tabloid	amarillista	Noun
Tabloid	la prensa amarilla	Noun
Tabloid	sensacionalista	Noun
Tabloid	tabloide	Noun
Tabloid	tabloides	Noun
Taboo	el tabú	Noun
Taboos	los tabúes	Noun
Taboos	los tabús	Noun
Tackle	entre	Noun
Tacky	lobo	Noun
Tactful	política	Noun
Tactful	político	Noun
Tactless	indiscreto	Noun
Tag	agregar	Noun
Tag	atrapadas	Noun
Tag	añadir	Noun
Tag	chapa	Noun
Tag	codificar	Noun
Tag	etiqueta	Noun
Tag	etiquetar	Noun
Tag	la etiqueta	Noun
Tag	marca	Noun
Tag	matrícula	Noun
Tag	nube	Noun
Tag	placa	Noun
Tags	marca	Noun
Tail	cola	Noun
Tailgating	reunión antes del partido	Verb
Tailor	el sastre	Noun
Tailor	sastre	Noun
Take	aceptan	Noun
Take	aceptar	Noun
Take	aceptarán	Noun
Take	aceptaré	Noun
Take	aceptaría	Noun
Take	aceptarían	Noun
Take	aceptaste	Noun
Take	aceptó	Noun
Take	acompañar	Noun
Take	admitieron	Noun
Take	admitir	Noun
Take	admitirá	Noun
Take	admitiré	Noun
Take	admitió	Noun
Take	adoptar	Noun
Take	adquirir	Noun
Take	agarrar	Noun
Take	agarraras	Noun
Take	agarraron	Noun
Take	agarres	Noun
Take	agarró	Noun
Take	aguanta	Noun
Take	aguantar	Noun
Take	alquilan	Noun
Take	alquilar	Noun
Take	alquilaremos	Noun
Take	alquilarán	Noun
Take	alquiló	Noun
Take	apuntar	Noun
Take	arranca	Noun
Take	arrancar	Noun
Take	cancelar	Noun
Take	cogemos	Noun
Take	coger	Noun
Take	coges	Noun
Take	cogiste	Noun
Take	cojo	Noun
Take	comeremos	Noun
Take	comería	Noun
Take	compraremos	Noun
Take	compraría	Noun
Take	confiar	Noun
Take	confiaré	Noun
Take	confíe	Noun
Take	consideras	Noun
Take	considero	Noun
Take	continuamos	Noun
Take	continuar	Noun
Take	continuaremos	Noun
Take	continuaré	Noun
Take	continuó	Noun
Take	continúa	Noun
Take	continúas	Noun
Take	contratar	Noun
Take	costar	Noun
Take	cursan	Noun
Take	cursar	Noun
Take	cursaré	Noun
Take	curse	Noun
Take	dar	Noun
Take	darse	Noun
Take	date	Noun
Take	despegar	Noun
Take	echen	Noun
Take	eches	Noun
Take	eliminar	Noun
Take	empezarás	Noun
Take	empezarían	Noun
Take	engañar	Noun
Take	estudiará	Noun
Take	estudiarán	Noun
Take	estudiarás	Noun
Take	estudiaré	Noun
Take	estudiaría	Noun
Take	excluir	Noun
Take	ganaremos	Noun
Take	ganarán	Noun
Take	ganaste	Noun
Take	gire	Noun
Take	hacen	Noun
Take	hacer	Noun
Take	harás	Noun
Take	imitar	Noun
Take	levantarse	Noun
Take	lleva	Noun
Take	llevar	Noun
Take	llevarla	Noun
Take	llevarle	Noun
Take	llevaron	Noun
Take	llevarse	Noun
Take	llevarte	Noun
Take	llevará	Noun
Take	llevarán	Noun
Take	llevarás	Noun
Take	llevaré	Noun
Take	llevaría	Noun
Take	llevas	Noun
Take	llevaste	Noun
Take	lleve	Noun
Take	lleven	Noun
Take	lleves	Noun
Take	llevo	Noun
Take	llevárse	Noun
Take	llevó	Noun
Take	llévamela	Noun
Take	llévate	Noun
Take	llévenla	Noun
Take	llévennosla	Noun
Take	lléveselo	Noun
Take	ocupar	Noun
Take	pica	Noun
Take	pican	Noun
Take	picar	Noun
Take	picaste	Noun
Take	poner	Noun
Take	ponerse	Noun
Take	pongan	Noun
Take	prender	Noun
Take	prendiera	Noun
Take	quitan	Noun
Take	quitar	Noun
Take	quítale	Noun
Take	recibir	Noun
Take	recibiremos	Noun
Take	recibirán	Noun
Take	recibiría	Noun
Take	recibiste	Noun
Take	recoger	Noun
Take	recojan	Noun
Take	rescatar	Noun
Take	retirar	Noun
Take	retomar	Noun
Take	saca	Noun
Take	sacar	Noun
Take	sacaron	Noun
Take	sacarán	Noun
Take	sacas	Noun
Take	sacaste	Noun
Take	saco	Noun
Take	sacó	Noun
Take	saltar	Noun
Take	saltaron	Noun
Take	saltas	Noun
Take	salto	Noun
Take	seguimos	Noun
Take	sigo	Noun
Take	sigues	Noun
Take	sorprender	Noun
Take	subir	Noun
Take	tardar	Noun
Take	tardará	Noun
Take	tardas	Noun
Take	tardemos	Noun
Take	tirar	Noun
Take	toma	Noun
Take	tomamos	Noun
Take	toman	Noun
Take	tomar	Noun
Take	tomara	Noun
Take	tomaran	Noun
Take	tomarme	Noun
Take	tomarnos	Noun
Take	tomarse	Noun
Take	tomarte	Noun
Take	tomará	Noun
Take	tomarán	Noun
Take	tomarás	Noun
Take	tomaré	Noun
Take	tomas	Noun
Take	tomaste	Noun
Take	tome	Noun
Take	tomen	Noun
Take	tomes	Noun
Take	tomo	Noun
Take	tomé	Noun
Take	tomémonos	Noun
Take	tómame	Noun
Take	tómate	Noun
Take	tómelo	Noun
Take	tómenla	Noun
Take	tómenlo	Noun
Take	tómenselas	Noun
Take A Bath	bañarse	Noun
Take A Bath	dar un baño	Noun
Take A Bath	darme un baño	Noun
Take A Bath	darte un baño	Noun
Take A Bath	tomar un baño	Noun
Take A Bath	tomarme un baño	Noun
Take A Bath	tomarse un baño	Noun
Take A Bearing	marca	Noun
Take A Detour	desviarse	Noun
Take A Look	un vistazo	Noun
Take A Risk	arriesgarse	Noun
Take A Shower	bañarse	Noun
Take A Shower	ducharme	Noun
Take A Shower	ducharse	Noun
Take Active Steps	activo	Noun
Take Advantage	aprovecha	Noun
Take Advantage Of	aprovechar	Noun
Take After	parecerse	Noun
Take Apart	desarmar	Noun
Take Back	devolver	Noun
Take Care	cuidar	Noun
Take Care	cuídate	Noun
Take Care Of	cuidar	Noun
Take Care Of	cuidarás	Noun
Take Care Of	ocuparse	Noun
Take Cover	cubrir	Noun
Take In	entre	Noun
Take In	tomar	Noun
Take In	tomara	Noun
Take Off	abran	Noun
Take Off	abras	Noun
Take Off	quitarse	Noun
Take Off	tomara	Noun
Take On	contrato	Noun
Take One's Hat Off	descubrir	Noun
Take Out	abran	Noun
Take Out	abras	Noun
Take Out	sacar	Noun
Take Out	saco	Noun
Take Over	asumir	Noun
Take Over	asumiré	Noun
Take Over	relevaré a alguien	Noun
Take Over	sustituiré a alguien	Noun
Take Over	tomar	Noun
Take Over	tomaré	Noun
Take Part	concurso	Noun
Take Part	participar	Noun
Take Place	producir	Noun
Take Revenge	venga	Noun
Take Revenge	vengarse	Noun
Take Shelter	refugiarse	Noun
Take The Edge Off	calmo	Noun
Take Turns	alternarse	Noun
Take Turns	ir turnándose	Noun
Take Turns	turnarse	Noun
Take Turns	turno	Noun
Take Up	subir	Noun
Take Your Hat Off	quítate el sombrero	Noun
Take Your Hat Off	quítese el sombrero	Noun
Take!	seguí	Noun
Take-Off	el despegue	Noun
Taken	dado	Noun
Taken	llevadas	Noun
Taken	llevado	Noun
Taken	llevados	Noun
Taken	llevó	Noun
Taken	se sacó	Noun
Taken	seguida	Noun
Taken	tomada	Noun
Taken	tomado	Noun
Taken	tomarse	Noun
Takes	aceptar	Noun
Takes	admitir	Noun
Takes	aguantar	Noun
Takes	alquilar	Noun
Takes	arrancar	Noun
Takes	coge	Noun
Takes	continuar	Noun
Takes	llevarse	Noun
Takes	prender	Noun
Takes	saltar	Noun
Takes	sorprender	Noun
Takes	subir	Noun
Takes	tardar	Noun
Takes	toma	Noun
Takes A Bearing	marca	Noun
Takes Revenge	venga	Noun
Taking	aceptando	Verb
Taking	agarrar	Verb
Taking	cogemos	Verb
Taking	cogen	Verb
Taking	coges	Verb
Taking	cojo	Verb
Taking	comiendo	Verb
Taking	cursaba	Verb
Taking	cursando	Verb
Taking	dar	Verb
Taking	haciendo	Verb
Taking	lleva	Verb
Taking	llevamos	Verb
Taking	llevando	Verb
Taking	llevar	Verb
Taking	llevarse	Verb
Taking	llevas	Verb
Taking	recibiendo	Verb
Taking	tardando	Verb
Taking	tomaba	Verb
Taking	tomabas	Verb
Taking	tomamos	Verb
Taking	toman	Verb
Taking	tomando	Verb
Taking	tomar	Verb
Taking	tomarse	Verb
Taking	tomas	Verb
Taking	tomáramos	Verb
Taking Care	cuidar	Noun
Taking Off	amputando	Noun
Taking Off	cortando	Noun
Taking Off	descontando	Noun
Taking Off	despegando	Noun
Taking Off	despegar	Noun
Taking Off	quitando	Noun
Taking Off	sacando	Noun
Taking Off	saliendo	Noun
Tal Cual	situation	Noun
Tal Cual	thing	Noun
Tal Cual	vibe	Noun
Tale	cuento	Noun
Tale	cuentos	Noun
Tale	relato	Noun
Talent	condición	Noun
Talent	talento	Noun
Talented	talentoso	Verb
Talk	conferencia	Noun
Talk	convencer	Noun
Talk	conversamos	Noun
Talk	conversan	Noun
Talk	conversar	Noun
Talk	conversaste	Noun
Talk	conversen	Noun
Talk	converso	Noun
Talk	decir	Noun
Talk	habla	Noun
Talk	hablaba	Noun
Talk	hablabais	Noun
Talk	hablaban	Noun
Talk	hablamos	Noun
Talk	hablan	Noun
Talk	hablar	Noun
Talk	hablara	Noun
Talk	hablaran	Noun
Talk	hablaras	Noun
Talk	hablaremos	Noun
Talk	hablarlo	Noun
Talk	hablaron	Noun
Talk	hablarán	Noun
Talk	hablaré	Noun
Talk	hablas	Noun
Talk	hablaste	Noun
Talk	hable	Noun
Talk	hablemos	Noun
Talk	hablen	Noun
Talk	hables	Noun
Talk	hablo	Noun
Talk	habláramos	Noun
Talk	hablé	Noun
Talk	párrafo	Noun
Talk About	hables	Noun
Talk It Over	comentarlo	Noun
Talk It Over	discutirlo	Noun
Talk It Over	hablarlo	Noun
Talk It Over	tratarlo	Noun
Talkative	conversador	Noun
Talked	conversado	Verb
Talked	conversaron	Verb
Talked	conversé	Verb
Talked	conversó	Verb
Talked	hablaba	Verb
Talked	hablaban	Verb
Talked	hablado	Verb
Talked	hablamos	Verb
Talked	hablaron	Verb
Talked	hablaste	Verb
Talked	hablábamos	Verb
Talked	habláramos	Verb
Talked	hablé	Verb
Talked	habló	Verb
Talking	conversando	Verb
Talking	conversar	Verb
Talking	habla	Verb
Talking	hablamos	Verb
Talking	hablan	Verb
Talking	hablando	Verb
Talking	hablar	Verb
Talking	hablarle	Verb
Talking	hablas	Verb
Talking	hablo	Verb
Talking	hablándole	Verb
Talking	refería	Verb
Talking	refiere	Verb
Talking	refieres	Verb
Talking	refiero	Verb
Talks	habla	Noun
Tall	alta	Noun
Tall	alto	Noun
Tall	grandes	Noun
Taller	alta	Noun
Taller	más alto	Noun
Tallest	altísimo	Noun
Tallest	más alta	Noun
Tallest	más alto	Noun
Tally	casa	Adverb
Tan	bronceado	Noun
Tan	moreno	Noun
Tan	quemar	Noun
Tan	quemarse	Noun
Tangerine	la mandarina	Noun
Tango	tango	Noun
Tank	tanque	Noun
Tanned	bronceado	Verb
Tantrum	berrinche	Noun
Tape	meta	Noun
Tape Measure	el metro	Noun
Tapestry	el tapiz	Noun
Tardar	tardar	Noun
Tardy	impuntual	Noun
Target	blanco	Noun
Target	diana	Noun
Target	dirigir	Noun
Target	dirigirían	Noun
Target	dirigirías	Noun
Target	fijado	Noun
Target	objetivo	Noun
Tart	agrio	Noun
Tartar	el sarro	Noun
Task	tarea	Noun
Taste	gusto	Noun
Taste	probar	Noun
Taste	probaron	Noun
Taste	probé	Noun
Taste	prueba	Noun
Taste	pruebas	Noun
Taste	sabe	Noun
Taste	saben	Noun
Taste	saber	Noun
Taste	sabor	Noun
Taste	sabía	Noun
Taste	supiera	Noun
Tasted	supe	Verb
Tasted	supieron	Verb
Tasted	supimos	Verb
Tastes	prueba	Noun
Tasty	apetitoso	Noun
Tasty	apetitosos	Noun
Tasty	buenísimo	Noun
Tasty	delicious	Noun
Tasty	rica	Noun
Tasty	ricas	Noun
Tasty	rico	Noun
Tasty	ricos	Noun
Tasty	riquísima	Noun
Tasty	sabrosa	Noun
Tasty	sabrosas	Noun
Tasty	sabroso	Noun
Tasty	sabrosos	Noun
Tattoo	tatuaje	Noun
Taught	enseñaba	Noun
Taught	enseñaban	Noun
Taught	enseñabas	Noun
Taught	enseñado	Noun
Taught	enseñamos	Noun
Taught	enseñan	Noun
Taught	enseñar	Noun
Taught	enseñara	Noun
Taught	enseñaras	Noun
Taught	enseñaron	Noun
Taught	enseñarán	Noun
Taught	enseñé	Noun
Taught	enseñó	Noun
Taught	imparte	Noun
Taught	impartió	Noun
Taught	impartía	Noun
Tautness	tensión	Noun
Tax	impuesto	Noun
Tax	impuestos	Noun
Tax	tasa	Noun
Tax Data	los datos fiscales	Noun
Tax Identification Number	el Número de Identificación Fiscal	Noun
Tax Period	el periodo impositivo	Noun
Tax Withheld At Source	las retenciones	Noun
Taxable Amount After Specific Deductions Have Been Applied	la base liquidable	Noun
Taxable Base	la base imponible	Noun
Taxi	taxi	Noun
Taxi Driver	taxista	Noun
Taxi's	taxis	Noun
Taxis	taxis	Noun
Tea	el té	Noun
Tea	hierba	Noun
Tea	merienda	Noun
Tea	té	Noun
Tea Party	té	Noun
Teach	enseña	Noun
Teach	enseñamos	Noun
Teach	enseñan	Noun
Teach	enseñar	Noun
Teach	enseñas	Noun
Teach	enseñe	Noun
Teach	enseñemos	Noun
Teach	enseñen	Noun
Teach	enseñes	Noun
Teach	enseño	Noun
Teach	enseñó	Noun
Teach	enséñale	Noun
Teach	enséñenles	Noun
Teach	impartir	Noun
Teach Me	enséñame	Noun
Teacher	instructora	Noun
Teacher	maestra	Noun
Teacher	maestro	Noun
Teacher	profesor	Noun
Teacher	profesora	Noun
Teacher	un maestro	Noun
Teacher	un profesor	Noun
Teacher	una maestra	Noun
Teacher	una profesora	Noun
Teachers	los maestros	Noun
Teachers	maestras	Noun
Teachers	maestros	Noun
Teachers	profesores	Noun
Teaches	enseña	Noun
Teaches	enseña a	Noun
Teaches	imparte	Noun
Teaches Me	me enseña	Noun
Teaching	enseñando	Verb
Teaching	enseñanza	Verb
Teaching	enseñar	Verb
Teaching Practice	prácticas	Noun
Team	equipo	Noun
Team	un equipo	Noun
Team Captain	el capitán del equipo	Noun
Team's	equipo	Noun
Teams	los equipos	Noun
Teamwork	el trabajo en equipo	Noun
Tear	abrir	Noun
Tear	arañar	Noun
Tear	arrancar	Noun
Tear	derribar	Noun
Tear	desgarrarse	Noun
Tear	desgarrón	Noun
Tear	dividir	Noun
Tear	levantar	Noun
Tear	lágrima	Noun
Tear	rasgar	Noun
Tear	rasgarse	Noun
Tear	rasgues	Noun
Tear	rasgón	Noun
Tear	romper	Noun
Tear	romperse	Noun
Tear	roto	Noun
Tear	rotura	Noun
Tear	siete	Noun
Tear Down	demoler	Noun
Tear Out	arrancar	Noun
Teas	tés	Noun
Tease	cargo	Noun
Teaspoon	la cucharita	Noun
Tech	tecnología	Noun
Technical	especializado	Noun
Technical	técnica	Noun
Technical	técnicas	Noun
Technical	técnico	Noun
Technical	técnicos	Noun
Technical Rehearsal	el ensayo técnico	Noun
Technical Service	el servicio técnico	Noun
Technician	el técnico	Noun
Technician	la técnica	Noun
Technician	técnico	Noun
Technician's	técnico	Noun
Technique	técnica	Noun
Technological	tecnológico	Noun
Technology	tecnología	Noun
Tee	camiseta	Noun
Teen	adolescente	Noun
Teenage	adolescente	Noun
Teenager	adolescente	Noun
Teeth	diente	Noun
Teeth	dientes	Noun
Teeth	los dientes	Noun
Teeth	muelas	Noun
Teeth	púas	Noun
Telephone	llamar	Noun
Telephone	llamara	Noun
Telephone	llame	Noun
Telephone	telefónicas	Noun
Telephone	teléfono	Noun
Telephones	teléfonos	Noun
Telescope	el telescopio	Noun
Television	la televisión	Noun
Television	tele	Noun
Television	televisión	Noun
Television	televisor	Noun
Television Set	televisor	Noun
Tell	advertirá	Noun
Tell	contar	Noun
Tell	contaras	Noun
Tell	contarlo	Noun
Tell	contaron	Noun
Tell	contarse	Noun
Tell	contaste	Noun
Tell	conté	Noun
Tell	contó	Noun
Tell	cuenta	Noun
Tell	cuentan	Noun
Tell	cuentas	Noun
Tell	cuentes	Noun
Tell	cuento	Noun
Tell	cuéntale	Noun
Tell	cuéntenles	Noun
Tell	decimos	Noun
Tell	decir	Noun
Tell	decirle	Noun
Tell	decirles	Noun
Tell	decirte	Noun
Tell	decís	Noun
Tell	dice	Noun
Tell	dicen	Noun
Tell	dices	Noun
Tell	diga	Noun
Tell	digamos	Noun
Tell	digan	Noun
Tell	digas	Noun
Tell	digo	Noun
Tell	dijera	Noun
Tell	dijeran	Noun
Tell	dijeron	Noun
Tell	dijimos	Noun
Tell	dijo	Noun
Tell	dijéramos	Noun
Tell	dile	Noun
Tell	diles	Noun
Tell	diremos	Noun
Tell	dirá	Noun
Tell	dirás	Noun
Tell	diría	Noun
Tell	dígale	Noun
Tell	dígales	Noun
Tell	díganle	Noun
Tell	díselo	Noun
Tell	enteraran	Noun
Tell	enterarás	Noun
Tell	entere	Noun
Tell	informarme	Noun
Tell	informemos	Noun
Tell	informen	Noun
Tell	pidámosles	Noun
Tell Her	dile	Noun
Tell Her	dígale	Noun
Tell Him	dile	Noun
Tell Him	dígale	Noun
Tell Him	dígaselo	Noun
Tell Me	decirme	Noun
Tell Me	dime	Noun
Tell Me	dígame	Noun
Tell On	acusar	Noun
Tell On	acusas	Noun
Tell On	acusaste	Noun
Tell On	acuses	Noun
Tell On Someone	acusar	Noun
Tell The Difference Between	diferencia	Noun
Tell Them	decirles	Noun
Tell Us	decirnos	Noun
Tell … Apart	diferencia	Noun
Teller	cajero	Noun
Teller	empleado	Noun
Telling	contar	Adjective
Telling	decir	Adjective
Telling	diciendo	Adjective
Telling Me	decirme	Noun
Tells	cuenta	Noun
Tells The Difference Between	diferencia	Noun
Tells … Apart	diferencia	Noun
Telly	tele	Adverb
Temperate	templado	Noun
Temperature	fiebre	Noun
Temperature	temperatura	Noun
Temple	el templo	Noun
Temple	templo	Noun
Tempo	tiempo	Noun
Temporal	temporal	Noun
Temporal Bone	temporal	Noun
Temporarily	temporalmente	Adverb
Temporary	pasajera	Noun
Temporary	pasajero	Noun
Temporary	pasajeros	Noun
Temporary	temporal	Noun
Ten	diez	Noun
Tend	atender	Noun
Tend	soler	Noun
Tend	suelo	Noun
Tend To	atender	Noun
Tend To	suelo	Noun
Tendency	tendencia	Noun
Tender	concurso	Noun
Tener Memoria De Elefante	blame	Noun
Tennis	tenis	Noun
Tennis Player	tenista	Noun
Tense	nervioso	Noun
Tense	tenso	Noun
Tense	tiempo	Noun
Tension	tensión	Noun
Tent	carpa	Noun
Tent	la tienda de campaña	Noun
Tent	tienda de campaña	Noun
Tenth	diez	Adjective
Tenth	décima	Adjective
Tenth	décima parte	Adjective
Tenth	décimo	Adjective
Tenth	en décimo lugar	Adjective
Term	condición	Noun
Term	período	Noun
Term	plazo	Noun
Term	semestre	Noun
Term	trimestre	Noun
Terminal	la terminal	Noun
Terminate	resolver	Noun
Terminate	terminar	Noun
Terrace	terraza	Noun
Terrain	terreno	Noun
Terrane	terreno	Noun
Terrestrial	terreno	Noun
Terrible	fatal	Noun
