English	Chinese	Pinyin	Part of Speech
Trick	欺骗	qīpiàn	Noun
Trick	特技	tè jì	Noun
Trick	窍门	qiàomén	Noun
Trick	耍	shuǎ	Noun
Trick	花式	huā shì	Noun
Trick	花招	huā zhāo	Noun
Trick	花样	huā yàng	Noun
Trick	诱骗	yòu piàn	Noun
Trick	骗	piàn	Noun
Trick	骗人	piàn rén	Noun
Trick	骗到	piàn dào	Noun
Trick	骗局	piàn jú	Noun
Trick	骗过	piàn guò	Noun
Trick Or Treat	玩不给糖就捣蛋	wán bù gěi táng jiù dǎo dàn	Noun
Tricky	麻烦	má fán	Noun
Tried	尝试	cháng shì	Verb
Tried	尝过	cháng guò	Verb
Tried	本试	běn shì	Verb
Tried	试	shì	Verb
Tried	试了	shì le	Verb
Tried	试了试	shì le shì	Verb
Tried	试图	shìtú	Verb
Tried	试过	shì guò	Verb
Tried	还试	hái shì	Verb
Trim	修剪	xiū jiǎn	Noun
Trip	出行	chū xíng	Noun
Trip	旅行	lǚ xíng	Noun
Trip	短途旅行	duǎn tú lǚ xíng	Noun
Trip	趟	tàng	Noun
Trips	旅行	lǚ xíng	Noun
Trope	比喻	bǐyù	Noun
Trophy	奖杯	jiǎng bēi	Noun
Tropic	热带	rè dài	Noun
Tropical	热带的	rè dài de	Noun
Trouble	惹祸	rěhuò	Verb
Trouble	捣乱	dǎoluàn	Verb
Trouble	毛病	máobìng	Verb
Trouble	烦恼	fán nǎo	Verb
Trouble	问题	wèn tí	Verb
Trouble	麻烦	má fán	Verb
Troublesome	伤脑筋	shāngnǎojīn	Noun
Troublesome	啰唆	luōsuo	Noun
Troublesome	麻烦	má fán	Noun
Trousers	裤子	kùzi	Noun
Trousers	长裤	zhǎng kù	Noun
Truck	卡车	kǎ chē	Noun
Truck	大卡车	dà kǎ chē	Noun
Truck	货车	huò chē	Noun
True	真正的	zhēn zhèng de	Noun
Truly	真实地	zhēn shí dì	Adverb
Truly	真的	zhēn de	Adverb
Truly	真诚地	zhēn chéng dì	Adverb
Trumpet	小号	xiǎo hào	Noun
Trunk	后备箱	hòu bèi xiāng	Noun
Trunk	行李箱	xínglixiāng	Noun
Trust	信任	xìn rèn	Noun
Trust	信服	xìn fú	Noun
Trust	信赖	xìn lài	Noun
Trust	信过	xìn guò	Noun
Trust	听信	tīng xìn	Noun
Trust	相信	xiāng xìn	Noun
Trusted	信任	xìn rèn	Verb
Trusting	信任	xìn rèn	Verb
Trusts	信任	xìn rèn	Noun
Truth	真理	zhēnlǐ	Noun
Truth	真相	zhēn xiāng	Noun
Truth	道理	dào lǐ	Noun
Try	审理	shěnlǐ	Noun
Try	尝	cháng	Noun
Try	尝试	cháng shì	Noun
Try	尽力	jǐn lì	Noun
Try	尽量	jǐn liàng	Noun
Try	要试着	yào shì zhe	Noun
Try	试	shì	Noun
Try	试一下	shì yī xià	Noun
Try	试图	shìtú	Noun
Try	试戴	shì dài	Noun
Try	试着	shì zhe	Noun
Try	试试	shì shì	Noun
Try Hard	使劲	shǐ jìn	Noun
Try My Best	尽量	jǐn liàng	Verb
Try My Best	拼命	pīnmìng	Verb
Try On	试戴	shì dài	Noun
Try On	试穿	shì chuān	Noun
Try One's Best	尽力	jǐn lì	Noun
Try Out	试用	shì yòng	Noun
Try The Best	尽力	jìnlì	Verb
Try To	尝试	cháng shì	Noun
Try To	尝试去	cháng shì qù	Noun
Try To	试着	shì zhe	Noun
Try To Win Credit For	争气	zhēngqì	Preposition
Try Various Devices To	想方设法	xiǎngfāngshèfǎ	Preposition
Trying	尝试	cháng shì	Verb
Trying	试着	shì zhe	Verb
Trying To	试着	shì zhe	Noun
Tsunami	海啸	hǎi xiào	Noun
Tube	地铁	de tiě	Noun
Tube	水管	shuǐ guǎn	Noun
Tube	筒	tǒng	Noun
Tube	管子	guǎnzi	Noun
Tube	管道	guǎn dào	Noun
Tuesday	周二	zhōu èr	Noun
Tuesday	星期二	xīng qī èr	Noun
Tuesday	礼拜二	lǐ bài èr	Noun
Tuition	学费	xué fèi	Noun
Tumour	肿瘤	zhǒngliú	Noun
Tuna	金枪鱼	jīn qiāng yú	Noun
Tune	曲子	qǔzi	Noun
Tunnel	地道	dìdao	Noun
Tunnel	隧道	suì dào	Noun
Turbidity	混浊	hùnzhuó	Noun
Turbulence	动荡	dòngdàng	Noun
Turbulent	汹涌	xiōngyǒng	Adjective
Turkey	土耳其	tǔ ěr qí	Noun
Turkey	火鸡	huǒ jī	Noun
Turkey's	土耳其	tǔ ěr qí	Noun
Turkish	土耳其	tǔ ěr qí	Noun
Turn	传	chuán	Verb
Turn	变	biàn	Verb
Turn	变成	biàn chéng	Verb
Turn	往	wǎng	Verb
Turn	成	chéng	Verb
Turn	扭动	niǔ dòng	Verb
Turn	拐	guǎi	Verb
Turn	拐弯	guǎi wān	Verb
Turn	拧	níng	Verb
Turn	番	fān	Verb
Turn	翻	fān	Verb
Turn	转	zhuàn	Verb
Turn	转	zhuǎn	Verb
Turn	转向	zhuǎn xiàng	Verb
Turn	轮到	lún dào	Verb
Turn Around	掉头	diào tóu	Noun
Turn Around	转身	zhuǎn shēn	Noun
Turn Back	转身	zhuǎn shēn	Noun
Turn Down	调低	diào dī	Noun
Turn Down	调低音量	diào dī yīn liàng	Noun
Turn Itself Off	关机	guān jī	Noun
Turn Off	关	guān	Verb
Turn Off	关掉	guān diào	Verb
Turn Off	关机	guān jī	Verb
Turn Off	关闭	guān bì	Verb
Turn Off	岔	chà	Verb
Turn On	启动	qǐ dòng	Noun
Turn On	开	kāi	Noun
Turn On	开机	kāi jī	Noun
Turn On	打开	dǎ kāi	Noun
Turn Out	结果	jié guǒ	Noun
Turn Signal	转向灯	zhuǎn xiàng dēng	Noun
Turn To	归	guī	Noun
Turn Up	调高	diào gāo	Noun
Turned	变为	biàn wèi	Verb
Turned	变化	biàn huà	Verb
Turned	变成	biàn chéng	Verb
Turning Point	转折点	zhuǎn zhé diǎn	Noun
Turnover	周转	zhōuzhuǎn	Noun
Turtle	乌龟	wū guī	Noun
Turtle	海龟	hǎi guī	Noun
Turtle	龟	guī	Noun
Turtleneck	高领	gāo lǐng	Noun
Tutor	导师	dǎo shī	Noun
Tutor	辅导	fǔ dǎo	Noun
Tuxedo	燕尾服	yàn wěi fú	Noun
Tv	电视	diàn shì	Noun
Tv	电视机	diàn shì jī	Noun
Tv	视	shì	Noun
Tv Series	电视剧	diàn shì jù	Noun
Tv Show	电视	diàn shì	Noun
Tv Shows	电视	diàn shì	Noun
Twelfth	十二	shí èr	Noun
Twelve	十二	shí èr	Noun
Twentieth	二十号	èr shí hào	Noun
Twentieth	第二十	dì èr shí	Noun
Twenty	二十	èr shí	Noun
Twenty	二十个	èr shí gè	Noun
Twenty-Fifth	二十五日	èr shí wǔ rì	Noun
Twenty-First	第二十一	dì èr shí yī	Noun
Twenty-Second	第二十二	dì èr shí èr	Noun
Twenty-Third	第二十三	dì èr shí sān	Noun
Twice	两次	liǎng cì	Noun
Twin	双胞胎	shuāng bāo tāi	Noun
Twine	缠绕	chánrào	Noun
Twinkle	闪烁	shǎn shuò	Verb
Twins	双胞胎	shuāngbāotāi	Noun
Twist	反转	fǎn zhuǎn	Noun
Twists And Turns	周折	zhōuzhé	Noun
Two	2个	2 gè	Numeral
Two	两	liǎng	Numeral
Two	两个	liǎng gè	Numeral
Two	两件	liǎng jiàn	Numeral
Two	两份	liǎng fèn	Numeral
Two	两位	liǎng wèi	Numeral
Two	两只	liǎng zhǐ	Numeral
Two	两台	liǎng tái	Numeral
Two	两头	liǎng tóu	Numeral
Two	两部	liǎng bù	Numeral
Two	两间	liǎng jiān	Numeral
Two	二	èr	Numeral
Two	俩	liǎ	Numeral
Two	贰	èr	Numeral
Two Thousand	两千	liǎng qiān	Noun
Two-Day	两日	liǎng rì	Noun
Tying	系	xì	Verb
Type	型	xíng	Noun
Type	打字	dǎ zì	Noun
Type	款	kuǎn	Noun
Type	种	zhǒng	Noun
Type	种类	zhǒng lèi	Noun
Type	类	lèi	Noun
Type	类型	lèi xíng	Noun
Type	输入	shū rù	Noun
Typhoon	台风	tái fēng	Noun
Typical	典型	diǎn xíng	Adjective
Typical	典型的	diǎn xíng de	Adjective
Typically	典型地	diǎn xíng dì	Adverb
Tyre	轮胎	lúntāi	Noun
Udon	乌冬面	wū dōng miàn	Noun
Ufo	不明飞行物	bù míng fēi xíng wù	Noun
Ufo	幽浮	yōu fú	Noun
Ugly	丑	chǒu	Adjective
Ugly	丑恶	chǒu’è	Adjective
Ugly	很丑	hěn chǒu	Adjective
Ugly	很丑的	hěn chǒu de	Adjective
Ugly	难看	nán kàn	Adjective
Ultimate	最终	zuì zhōng	Noun
Ultimately	最终	zuì zhōng	Adverb
Um	呃	è	Noun
Um	嗯	ń	Noun
Umbrella	伞	sǎn	Noun
Umbrella	雨伞	yǔ sǎn	Noun
Unable	无法	wú fǎ	Noun
Unable To	没法	méi fǎ	Noun
Unable To Bear	忍不住	rěnbuzhù	Noun
Unable To Continue Walking	走不动	zǒu bù dòng	Noun
Unable To Go On	走不动	zǒu bù dòng	Noun
Unable To Hold Oneself Back	迫不及待	pòbùjídài	Noun
Unable To Move	走不动	zǒu bù dòng	Noun
Unable To Walk	走不动	zǒu bù dòng	Noun
Unacceptable	不能接受的	bù néng jiē shòu de	Noun
Unavailable	无法使用	wú fǎ shǐ yòng	Noun
Unavoidable	不免	bùmiǎn	Adjective
Unavoidable	难免	nánmiǎn	Adjective
Unbelievable	难以置信的	nán yǐ zhì xìn de	Noun
Unblocked	畅通	chàngtōng	Verb
Uncertain	不确定的	bù què dìng de	Noun
Uncle	伯伯	bó bo	Noun
Uncle	伯父	bó fù	Noun
Uncle	叔叔	shū shū	Noun
Uncle	叔父	shū fù	Noun
Uncle	姑夫	gū fū	Noun
Uncle	姑父	gū fù	Noun
Uncle	姨夫	yí fū	Noun
Uncle	姨父	yí fù	Noun
Uncle	舅父	jiù fù	Noun
Uncle	舅舅	jiù jiù	Noun
Uncomfortable	不舒服	bù shū fú	Adjective
Uncomfortable	不舒服的	bù shū fú de	Adjective
Uncomfortable	难受	nánshòu	Adjective
Unconscious	昏迷的	hūn mí de	Noun
Uncorrupted	廉洁	liánjié	Verb
Under	下	xià	Noun
Under	下方	xià fāng	Noun
Under	以下	yǐ xià	Noun
Under	以内	yǐ nèi	Noun
Under	在下面	zài xià miàn	Noun
Under Control	掌控之中	zhǎng kòng zhī zhōng	Noun
Under One’s Nose	公然	gōngrán	Noun
Under The Weather	不舒服	bù shū fú	Noun
Underestimate	低估	dī gū	Noun
Undergraduate	本科	běn kē	Verb
Underline	在下面划线	zài xià miàn huà xiàn	Noun
Undermine	破坏	pò huài	Noun
Underneath	底下	dǐ xià	Noun
Underneath	底下的	dǐ xià de	Noun
Understand	了解	le jiě	Verb
Understand	会得	huì dé	Verb
Understand	体会	tǐ huì	Verb
Understand	体谅	tǐ liàng	Verb
Understand	听得懂	tīng de dǒng	Verb
Understand	听懂	tīng dǒng	Verb
Understand	学得	xué dé	Verb
Understand	弄懂	nòng dǒng	Verb
Understand	弄清楚	nòng qīng chǔ	Verb
Understand	懂	dǒng	Verb
Understand	懂得	dǒng de	Verb
Understand	明白	míng bái	Verb
Understand	會	huì	Verb
Understand	理解	lǐ jiě	Verb
Understand	看得出	kàn dé chū	Verb
Understand	看得懂	kàn de dǒng	Verb
Understand	知悉	zhī xī	Verb
Understand	读懂	dú dǒng	Verb
Understand	谅	liàng	Verb
Understand	领会	lǐnghuì	Verb
Understand	领悟	lǐngwù	Verb
Understand Each Other	互相理解	hù xiāng lǐ jiě	Noun
Understandable	可理解的	kě lǐ jiě de	Noun
Understanding	谅解	liàngjiě	Noun
Understands	懂	dǒng	Noun
Understands	明白	míng bái	Noun
Understood	懂	dǒng	Noun
Understood	明白了	míng bái le	Noun
Undertake	承办	chéngbàn	Verb
Underwear	内衣	nèi yī	Noun
Undulate	起伏	qǐfú	Verb
Uneasy	不安	bù ān	Adjective
Uneasy	不对劲儿	bù duì jìn ér	Adjective
Unemployed	失业	shī yè	Verb
Unemployed	失业了	shī yè le	Verb
Unemployment	失业	shīyè	Noun
Unemployment	失业率	shī yè lǜ	Noun
Unemployment Rate	失业率	shī yè lǜ	Noun
Unemployment Status	待业状态	dài yè zhuàng tài	Noun
Unexpected	意外	yì wài	Verb
Unexpected	意想不到的	yì xiǎng bù dào de	Verb
Unexpectedly	不料	búliào	Adverb
Unexpectedly	没想到	méi xiǎng dào	Adverb
Unexpectedly	竟然	jìngrán	Adverb
Unfair	不公平的	bù gōng píng de	Noun
Unforgettable	令人难忘的	lìng rén nán wàng de	Noun
Unforgettable	难忘	nán wàng	Noun
Unfortunate	不幸	bù xìng	Noun
Unfortunate	可惜	kě xī	Noun
Unfortunately	不幸的是	bù xìng de shì	Adverb
Unfortunately	可惜	kěxī	Adverb
Unhappy	不开心	bù kāi xīn	Noun
Unhealthy	不健康	bù jiàn kāng	Noun
Unhealthy	不健康的	bù jiàn kāng de	Noun
Unhelpful	不帮忙	bù bāng máng	Noun
Unhusked Rice	稻谷	dàogǔ	Noun
Unified	统一	tǒngyī	Verb
Uniform	一致	yī zhì	Noun
Uniform	制服	zhìfú	Noun
Uniform	均匀	jūnyún	Noun
Uniform	工作服	gōng zuò fú	Noun
Uniform	校服	xiào fú	Noun
Uniform	统一	tǒng yī	Noun
Uniform	职业装	zhí yè zhuāng	Noun
Uniformity	均匀	jūnyún	Noun
Unimpeded	畅通	chàngtōng	Verb
Uninstall	卸载	xiè zài	Noun
Uninteresting	没意思	méi yì sī	Verb
Uninteresting	没意思的	méi yì si de	Verb
Union	公会	gōng huì	Noun
Union	协会	xié huì	Noun
Union	工会	gōng huì	Noun
Union	联合	liánhé	Noun
Union	联盟	lián méng	Noun
Unique	别致	biézhì	Verb
Unique	特有	tè yǒu	Verb
Unique	独特	dútè	Verb
Unique	独特的	dú tè de	Verb
Unit	单位	dānwèi	Noun
Unit	单元	dān yuán	Noun
Unit Price	单价	dān jià	Noun
Unite	团结	tuánjié	Verb
United	团结	tuán jié	Verb
Universal	普及	pǔjí	Noun
Universal	普遍	pǔbiàn	Noun
Universe	宇宙	yǔ zhòu	Noun
Universities	大学	dà xué	Noun
University	大学	dà xué	Noun
Unkind	不友善	bù yǒu shàn	Noun
Unknown	未知	wèi zhī	Noun
Unknown	未知的	wèi zhī de	Noun
Unless	除非	chú fēi	Noun
Unlike	不像	bù xiàng	Noun
Unlike	与	yǔ	Noun
Unlikely	不大可能的	bù dà kě néng de	Adverb
Unload	卸	xiè	Noun
Unlock	开锁	kāi suǒ	Noun
Unlock	解锁	jiě suǒ	Noun
Unlucky	不巧	bù qiǎo	Noun
Unlucky	不幸的	bù xìng de	Noun
Unlucky	不祥	bù xiáng	Noun
Unlucky	不顺	bù shùn	Noun
Unlucky	倒霉	dào méi	Noun
Unlucky	走运	zǒu yùn	Noun
Unlucky	霉	méi	Noun
Unnatural	别扭	bièniu	Adjective
Unnecessary	不必要的	bù bì yào de	Noun
Unpack	开箱整理	kāi xiāng zhěng lǐ	Noun
Unpleasant	令人不愉快	lìng rén bù yú kuài	Noun
Unpleasant Odor	异味	yì wèi	Noun
Unpopular	不受欢迎的	bù shòu huān yíng de	Noun
Unprecedented	空前绝后	kōngqiánjuéhòu	Verb
Unpredictable	无法预测的	wú fǎ yù cè de	Noun
Unprompted	自发	zìfā	Adjective
Unrealistic	不切实际的	bù qiē shí jì de	Noun
Unreasonable	不像话	búxiànghuà	Verb
Unreasonable	不合理的	bù hé lǐ de	Verb
Unreliable	不可靠的	bù kě kào de	Noun
Unstable	不安	bù’ān	Adjective
Untie	解开	jiě kāi	Noun
Until	为止	wèi zhǐ	Noun
Until	到	dào	Noun
Until	才	cái	Noun
Until	直到	zhí dào	Noun
Until Now	至今	zhì jīn	Noun
Untying	解	jiě	Verb
Unusual	不对劲儿	bù duì jìn ér	Noun
Unusual	不正常	bú zhèng cháng	Noun
Unusual	异常	yì cháng	Noun
Unwanted	不需要的	bù xū yào de	Verb
Unwell	不舒服	bù shū fú	Noun
Unwilling To Give Up	舍不得	shě bù dé	Noun
Unwilling To Let Go	舍不得	shě bù dé	Noun
Unwind	解压	jiě yā	Noun
Unwinding	休闲	xiū xián	Verb
Unzip	解压	jiě yā	Noun
Up	上	shàng	Noun
Up	上来	shàng lái	Noun
Up	抬头	tái tóu	Noun
Up	还醒	hái xǐng	Noun
Up Ahead	前方	qián fāng	Noun
Up All Night	整晚没睡	zhěng wǎn méi shuì	Noun
Up And Running	启动并运行	qǐ dòng bìng yùn xíng	Noun
Up To	为止	wèi zhǐ	Noun
Up To	将近	jiāngjìn	Noun
Up To Your Standards	符合你标准	fú hé nǐ biāo zhǔn	Noun
Up To Your Standards	符合你的标准	fú hé nǐ de biāo zhǔn	Noun
Up-To-Date	最新的	zuì xīn de	Noun
Upbringing	教养	jiàoyǎng	Noun
Upcoming	即将发生的	jí jiāng fā shēng de	Verb
Update	动态	dòng tài	Noun
Update	动静	dòngjing	Noun
Update	同步	tóng bù	Noun
Update	当新	dāng xīn	Noun
Update	更新	gèng xīn	Noun
Update	点新	diǎn xīn	Noun
Update	补一补	bǔ yī bǔ	Noun
Upgrade	升级	shēng jí	Noun
Upgrade	提拔	tíbá	Noun
Upgrade	点新	diǎn xīn	Noun
Upgrade	进阶	jìn jiē	Noun
Upgraded	升级	shēng jí	Verb
Upgrading	升级	shēng jí	Verb
Uphill	上坡	shàng pō	Noun
Upload	上传	shàng chuán	Noun
Uploaded	上传	shàng chuán	Verb
Uploading	上传	shàng chuán	Verb
Uploads	上传	shàng chuán	Noun
Upper Level	上层	shàng céng	Noun
Upper Reaches	上游	shàngyóu	Noun
Uproar	喧哗	xuānhuá	Noun
Ups And Downs	起起落落	qǐ qǐ luò luò	Noun
Upscale	高档	gāo dàng	Noun
Upset	不开心	bù kāi xīn	Noun
Upset	不高兴	bù gāo xìng	Noun
Upset	很不高兴	hěn bù gāo xìng	Noun
Upset	很难过	hěn nán guò	Noun
Upset	心烦	xīn fán	Noun
Upset	难过	nán guò	Noun
Upside Down	翻转	fān zhuǎn	Noun
Upside Down	颠倒	diāndǎo	Noun
Upstairs	楼上	lóu shàng	Noun
Upsurge	高涨	gāozhǎng	Noun
Upvote	点赞	diǎn zàn	Noun
Urban	城市	chéng shì	Noun
Urban	城市的	chéng shì de	Noun
Urge	促使	cùshǐ	Noun
Urge	催	cuī	Noun
Urge Again And Again	叮嘱	dīngzhǔ	Adverb
Urge On	鞭策	biāncè	Verb
Urgent	紧急	jǐn jí	Adjective
Urgent	紧急的	jǐn jí de	Adjective
Urgent	紧迫	jǐnpò	Adjective
Urgent	迫切	pòqiè	Adjective
Us	我们	wǒ men	Personal Pronoun
Us Dollar	美元	měi yuán	Noun
Usage	用法	yòng fǎ	Noun
Use	使用	shǐ yòng	Noun
Use	利用	lì yòng	Noun
Use	坐	zuò	Noun
Use	用	yòng	Noun
Use	用途	yòng tú	Noun
Use	走	zǒu	Noun
Use To	以前	yǐ qián	Noun
Use To	曾经	céng jīng	Noun
Use Unscrupulous Divisive Tactics	不择手段	bùzéshǒuduàn	Noun
Use Up	消耗	xiāo hào	Noun
Used	习	xí	Noun
Used	使用	shǐ yòng	Noun
Used	废旧	fèi jiù	Noun
Used	我用	wǒ yòng	Noun
Used	旧	jiù	Noun
Used	旧得	jiù dé	Noun
Used	曾	céng	Noun
Used	曾经	céng jīng	Noun
Used	用	yòng	Noun
Used	用了	yòng le	Noun
Used	用来	yòng lái	Noun
Used	用过	yòng guò	Noun
Used	穿过的	chuān guò de	Noun
Used To	习惯	xí guàn	Noun
Used To	以前	yǐ qián	Noun
Used To	曾经	céng jīng	Noun
Used To	过去常常	guò qù cháng cháng	Noun
Used To Be	曾经	céng jīng	Noun
Useful	有用	yǒu yòng	Noun
Useful	有用的	yǒu yòng de	Noun
Useless	无用的	wú yòng de	Noun
User	用户	yòng hù	Noun
Username	用户名	yòng hù míng	Noun
Uses	使用	shǐ yòng	Noun
Uses	用	yòng	Noun
Using	使用	shǐ yòng	Verb
Using	用	yòng	Verb
Usual	一般	yī bān	Adjective
Usual	平常	píngcháng	Adjective
Usual	平时	píng shí	Adjective
Usually	一般	yī bān	Verb
Usually	常常	cháng cháng	Verb
Usually	平常	píngcháng	Verb
Usually	平时	píng shí	Verb
Usually	平时都	píng shí dōu	Verb
Usually	经常	jīng cháng	Verb
Usually	般	bān	Verb
Usually	通常	tōng cháng	Verb
Utensil	餐具	cān jù	Noun
Utensils	餐具	cān jù	Noun
Utilities	公共设施	gōng gòng shè shī	Noun
Utilities	用品	yòng pǐn	Noun
Utilize	利用	lìyòng	Verb
Vacancy	空白	kòngbái	Noun
Vacant Land	空地	kōng de	Noun
Vacation	假期	jiǎ qī	Noun
Vacation	度假	dù jiǎ	Noun
Vacation	放假	fàng jiǎ	Noun
Vaccine	疫苗	yì miáo	Noun
Vacuum	吸地	xī dì	Noun
Vacuum	吸尘	xī chén	Noun
Vacuum	给	gěi	Noun
Vacuum Cleaner	吸尘器	xī chén qì	Noun
Vague	含糊	hán hú	Noun
Vague	模糊	móhu	Noun
Vaguely	隐约	yǐnyuē	Adverb
Vain	空虚	kōngxū	Adjective
Valentine	情人节	qíng rén jié	Noun
Valentine's	情人节	qíng rén jié	Noun
Valentine’s	情人节	qíng rén jié	Noun
Valid	合理	hé lǐ	Noun
Valley	山谷	shān gǔ	Noun
Valuable	值钱的	zhí qián de	Adjective
Valuable	宝贵	bǎo guì	Adjective
Valuable	有价值	yǒu jià zhí	Adjective
Valuable	贵重	guì zhòng	Adjective
Value	价值	jià zhí	Noun
Value	重视	zhòng shì	Noun
Value Concept	价值观	jià zhí guān	Noun
Value For Money	性价比	xìng jià bǐ	Noun
Value Orientation	价值观	jià zhí guān	Noun
Value System	价值观	jià zhí guān	Noun
Values	价值	jià zhí	Noun
Values	价值观	jià zhí guān	Noun
Van	面包车	miàn bāo chē	Noun
Vanilla	香草	xiāng cǎo	Noun
Vanish	消失	xiāo shī	Noun
Vanity	虚荣	xūróng	Noun
Varieties	品种	pǐnzhǒng	Noun
Variety	多样性	duō yàng xìng	Noun
Variety Show	综艺	zōng yì	Noun
Various	各	gè	Verb
Various	各国	gè guó	Verb
Various	各种各样	gè zhǒng gè yàng	Verb
Various	各种各样的	gè zhǒng gè yàng de	Verb
Various	多种	duō zhǒng	Verb
Vase	花瓶	huā píng	Noun
Vast	广大	guǎngdà	Noun
Vast	广阔	guǎng kuò	Noun
Vast	茫茫	mángmáng	Adjective
Vast	辽阔	liáokuò	Noun
Vegan	全素的	quán sù de	Noun
Vegetable	蔬菜	shū cài	Noun
Vegetable Garden	蔬菜园	shū cài yuán	Noun
Vegetables	蔬菜	shūcài	Noun
Vegetarian	素食	sù shí	Noun
Vegetarian	素食者	sù shí zhě	Noun
Vegetarian Diet	素食	sùshí	Noun
Vegetarian Dish	素菜	sù cài	Noun
Vegetarian Food	素食	sù shí	Noun
Vehicle	交通工具	jiāo tōng gōng jù	Noun
Vehicle	车	chē	Noun
Vehicle	车辆	chē liàng	Noun
Vending Machine	售货机	shòu huò jī	Noun
Venture	冒险	mào xiǎn	Noun
Venue	会场	huì chǎng	Noun
Venue	场地	chǎng de	Noun
Venue	场所	chǎng suǒ	Noun
Venue	场馆	chǎng guǎn	Noun
Venue	活动场所	huó dòng chǎng suǒ	Noun
Verb	等 （动）	děng	Noun
Verification	验证	yànzhèng	Verb
Verifies	证明	zhèng míng	Noun
Verify	核对	hé duì	Noun
Version	版	bǎn	Noun
Version	版本	bǎn běn	Noun
Version	说法	shuō fǎ	Noun
Vertical	垂直	chuízhí	Adjective
Vertical	竖	shù	Adjective
Verve	气魄	qìpò	Noun
Very	不得了	bùdéliǎo	Adverb
Very	十分	shí fēn	Adverb
Very	太	tài	Adverb
Very	好	hǎo	Adverb
Very	很	hěn	Adverb
Very	挺	tǐng	Adverb
Very	真	zhēn	Adverb
Very	非常	fēi cháng	Adverb
Very Brief	短促	duǎncù	Adjective
Very Long	很长时间	hěn zhǎng shí jiān	Adjective
Very Long	漫长	màncháng	Adjective
Very Much	非常	fēi cháng	Noun
Very Well	得非常好	dé fēi cháng hǎo	Noun
Very Well	得非常清楚	dé fēi cháng qīng chǔ	Noun
Very Well	非常	fēi cháng	Noun
Vest	背心	bèi xīn	Noun
Vet	兽医	shòu yī	Noun
Veterinarian	兽医	shòu yī	Noun
Veto	否决	fǒujué	Noun
Vibrate	震动	zhèn dòng	Noun
Vibration	振动	zhèndòng	Noun
Vice-	副	fù	Noun
Victim	受害者	shòu hài zhě	Noun
Victim	死者	sǐ zhě	Noun
Victim	死难者	sǐ nàn zhě	Noun
Victim	牺牲	xī shēng	Noun
Victory	胜利	shèng lì	Noun
Victory And Defeat	胜负	shèngfù	Noun
Video	录像	lù xiàng	Noun
Video	视频	shì pín	Noun
Video Call	打视频	dǎ shì pín	Noun
Video Conference	视频会议	shì pín huì yì	Noun
Video Game	电子游戏	diàn zǐ yóu xì	Noun
Vie With Each Other	争先恐后	zhēngxiānkǒnghòu	Noun
Vietnam	越南	yuè nán	Noun
View	景	jǐng	Noun
View	景色	jǐng sè	Noun
View	看法	kànfǎ	Noun
View	观念	guān niàn	Noun
View	视野	shì yě	Noun
Viewpoint	观点	guāndiǎn	Noun
Vigor	气势	qìshì	Noun
Vigor	活力	huólì	Noun
Villa	别墅	bié shù	Noun
Village	乡里	xiāng lǐ	Noun
Village	小村子	xiǎo cūn zi	Noun
Village	村	cūn	Noun
Village	村子	cūn zi	Noun
Village	村庄	cūn zhuāng	Noun
Village	镇子	zhèn zi	Noun
Villager	村民	cūn mín	Noun
Villain	反派	fǎn pài	Noun
Villain	恶棍	è gùn	Noun
Villain	狗贼	gǒu zéi	Noun
Villain	贼	zéi	Noun
Vinegar	醋	cù	Noun
Vintage	复古	fù gǔ	Noun
Vintage	经典的	jīng diǎn de	Noun
Violate	触犯	chùfàn	Verb
Violate	违反	wéi fǎn	Verb
Violate	违背	wéi bèi	Verb
Violate Rules	违规	wéi guī	Noun
Violation	侵犯	qīnfàn	Noun
Violation	违反	wéifǎn	Noun
Violation	违背	wéibèi	Noun
Violence	暴力	bàolì	Noun
Violent	暴力的	bào lì de	Adjective
Violent	猛烈	měngliè	Adjective
Violin	小提琴	xiǎo tí qín	Noun
Virtual	虚拟	xū nǐ	Noun
Virtual Reality	虚拟现实	xū nǐ xiàn shí	Noun
Virtuous	善良	shànliáng	Adjective
Virtuous	贤惠	xiánhuì	Adjective
Virus	电脑病毒	diàn nǎo bìng dú	Noun
Virus	病毒	bìng dú	Noun
Virus	计算机病毒	jì suàn jī bìng dú	Noun
Virus Infection	中毒	zhōng dú	Noun
Visa	签证	qiān zhèng	Noun
Visa	证	zhèng	Noun
Visa-Free Entry	免签	miǎn qiān	Noun
Visible	可见	kě jiàn	Noun
Vision	视力	shì lì	Noun
Visit	做客	zuò kè	Verb
Visit	去	qù	Verb
Visit	去到	qù dào	Verb
Visit	参观	cān guān	Verb
Visit	拜访	bài fǎng	Verb
Visit	探望	tànwàng	Verb
Visit	探访	tàn fǎng	Verb
Visit	游览	yóulǎn	Verb
Visit	看望	kànwàng	Verb
Visit	访问	fǎng wèn	Verb
Visit A Doctor	看病	kàn bìng	Noun
Visit During The New Year	拜年	bài nián	Noun
Visited	参观了	cān guān le	Verb
Visited	探访了	tàn fǎng le	Verb
Visited	游览	yóulǎn	Verb
Visited	游览了	yóu lǎn le	Verb
Visited	看望	kànwàng	Verb
Visited	看望了	kàn wàng le	Verb
Visited	访问了	fǎng wèn le	Verb
Visiting	去看望	qù kàn wàng	Verb
Visiting	在参观	zài cān guān	Verb
Visiting	正在参观	zhèng zài cān guān	Verb
