English	French	Part of Speech
Think	réfléchir	Noun
Think	réfléchis	Noun
Think	réfléchisse	Noun
Think	réfléchissent	Noun
Think	songé	Noun
Think	trouve	Noun
Think	trouvent	Noun
Think	trouves	Noun
Think	trouvez	Noun
Think	trouvons	Noun
Think About	penses à	Noun
Think About It	réfléchir	Noun
Think Back	repense	Noun
Think It Over	considérer	Noun
Think It Over	méditer	Noun
Think It Over	prendre le temps de réfléchir	Noun
Think It Over	reconsidérer	Noun
Think It Over	réfléchir	Noun
Think It Over	y réfléchir	Noun
Think Of	envisages	Noun
Think Of	penser à	Noun
Think So	crois	Noun
Think Through	analyser	Noun
Think Through	considérer	Noun
Think Through	examiner	Noun
Think Through	méditer sur	Noun
Think Through	réfléchir à	Noun
Thinking	croyant	Verb
Thinking	pensant	Verb
Thinking	pense	Verb
Thinking	penser	Verb
Thinking	penses	Verb
Thinking	pensons	Verb
Thinking	réfléchir	Verb
Thinking	réfléchis	Verb
Thinking	réfléchissant	Verb
Thinking About	pense à	Noun
Thinking Of	avoir l'intention de	Noun
Thinking Of	envisager	Noun
Thinking Of	penser à	Noun
Thinking Of	réfléchir à	Noun
Thinking Of	songer à	Noun
Thinks	croit	Noun
Thinks About	pense à	Noun
Thinly Slice	émincer	Noun
Thinly Slicing	émincer	Noun
Third	tiers	Noun
Third	trois	Noun
Third	troisième	Adjective
Third	troisièmement	Noun
Thirst	soif	Noun
Thirsty	assoiffé	Noun
Thirteen	treize	Numeral
Thirteenth	en treizième position	Adjective
Thirteenth	treize	Adjective
Thirteenth	treizième	Adjective
Thirtieth	trentième	Adjective
Thirty	demie	Numeral
Thirty	trente	Numeral
Thirty-Five	trente-cinq	Noun
This	c'	Noun
This	ceci	Noun
This	cela	Noun
This	celui	Noun
This	ces	Noun
This	cet	Noun
This	cette	Noun
This	ça	Noun
This	çà	Noun
This Is	c'est	Noun
This Is	voici	Noun
This Is	voilà	Noun
This Is A	c'est un	Noun
This Is A Load Of Rubbish	c'est n'importe quoi	Noun
This Is Absurd	c'est n'importe quoi	Noun
This Is My	c'est mon	Noun
This Is Nonsense	c'est n'importe quoi	Noun
This Is Nonsense Talk	c'est n'importe quoi	Noun
This Is Not All But	ce n'est pas tout mais	Noun
This Is Ridiculous	c'est n'importe quoi	Noun
This Is Rubbish	c'est n'importe quoi	Noun
This Is Unrelated	rien à voir	Noun
This One	celle-ci	Noun
This One	celui-ci	Noun
Thomas's	son	Noun
Thorough	minutieux	Adjective
Those	c'	Pronoun
Those	celles	Pronoun
Those	celles-là	Pronoun
Those	ces	Pronoun
Those	ceux	Pronoun
Those	ceux-là	Pronoun
Those	que	Pronoun
Those	qui	Pronoun
Those Ones	celles-là	Noun
Those Ones	ceux-là	Noun
Though	cependant	Noun
Though	malgré tout	Noun
Though	néanmoins	Noun
Though	pourtant	Noun
Though	toutefois	Noun
Thought	ai pensé	Noun
Thought	aies pensé	Noun
Thought	as pensé	Noun
Thought	avons pensé	Noun
Thought	croirais	Noun
Thought	croyais	Noun
Thought	croyait	Noun
Thought	croyiez	Noun
Thought	croyions	Noun
Thought	cru	Noun
Thought	idée	Noun
Thought	inventer	Noun
Thought	l'idée	Noun
Thought	la pensée	Noun
Thought	la réflexion	Noun
Thought	pensaient	Noun
Thought	pensais	Noun
Thought	pensait	Noun
Thought	penser	Noun
Thought	pensiez	Noun
Thought	pensions	Noun
Thought	pensé	Noun
Thought	pensé à	Noun
Thought	pensée	Noun
Thought	pensées	Noun
Thought	réfléchi	Noun
Thought	réfléchir	Noun
Thought	réfléchirais	Noun
Thought	réfléchissaient	Noun
Thought	réfléchissais	Noun
Thought	réfléchissait	Noun
Thought	réfléchissiez	Noun
Thought	réfléchissions	Noun
Thoughtful	attentionné	Adjective
Thoughtful	réfléchi	Adjective
Thoughts	pensées	Noun
Thousand	mille	Numeral
Thousand	millier	Numeral
Thread	fil	Noun
Threat	menace	Noun
Threat	risque	Noun
Threaten	menace	Noun
Threaten	menacent	Noun
Threaten	menacer	Noun
Threaten	menacera	Noun
Threaten	menacerait	Noun
Threaten	menaceront	Noun
Threaten	menacé	Noun
Threatened	menacer	Verb
Threatened Area	l'espace menacé	Noun
Three	trois	Numeral
Threw	a jeté	Noun
Threw	a lancé	Noun
Threw	ai lancé	Noun
Threw	as jeté	Noun
Threw	jetait	Noun
Threw	jeter	Noun
Threw	lancé	Noun
Threw Away	a jeté	Noun
Threw Away	ai jeté	Noun
Thrilled	excité	Adjective
Thrilled	ravi	Adjective
Thriller	thrillers	Noun
Thriller	à suspense	Noun
Throat	gorge	Noun
Throat	étranglement	Noun
Throat's	gorge	Noun
Throats	gorge	Noun
Through	moyenne	Preposition
Through	moyens	Preposition
Through	par	Preposition
Through	à travers	Preposition
Throughout	par	Noun
Throughout	partout	Noun
Throughout	à travers	Noun
Throw	jeter	Noun
Throw	jetez	Noun
Throw	jette	Noun
Throw	jettes	Noun
Throw	lance	Noun
Throw	lancer	Noun
Throw	lances	Noun
Throw	organiseras	Noun
Throw Away	jeter	Noun
Throw Out	jeter	Noun
Throwing	jeter	Verb
Thrown	jeté	Noun
Thrown	lancé	Noun
Throws	jeter	Noun
Throws	rejeter	Noun
Thumb	pouce	Noun
Thumbing A Ride	l'auto-stop	Noun
Thunder	tonnerre	Noun
Thunderbolt	foudre	Noun
Thunderstorm	orage	Noun
Thursday	jeudi	Noun
Thus	ainsi	Noun
Ticket	billet	Noun
Ticket	carnet	Noun
Ticket	contraventions	Noun
Ticket	coupon	Noun
Ticket	le procès-verbal	Noun
Ticket	pass	Noun
Ticket	pièce	Noun
Ticket	place	Noun
Ticket Booth	guichet	Noun
Ticket Machine	borne	Noun
Ticket Machine	l'horodateur	Noun
Tickets	billets	Noun
Tide	la marée	Noun
Tidied	rangé	Verb
Tidies	range	Noun
Tidiness	ordre	Noun
Tidy	propre	Adjective
Tidy	ranger	Adjective
Tidy	soigné	Adjective
Tidy Up	ranger	Noun
Tidying	ranger	Verb
Tidying Up	rangement	Noun
Tie	attache	Noun
Tie	attacher	Noun
Tie	attachons	Noun
Tie	cravate	Noun
Tied	attaché	Noun
Tier	couche	Noun
Tier	niveau	Noun
Ties	bloquer	Noun
Tiger	tigers	Noun
Tiger	tigre	Noun
Tiger	tigrou	Noun
Tight	ferme	Adjective
Tight	serré	Adjective
Tight	tendu	Adjective
Tight	étroit	Adjective
Tights	collants	Noun
Till	avant	Noun
Till	caisse	Noun
Till	jusqu'	Noun
Till	jusqu'au	Noun
Till	jusqu'aux	Noun
Till	jusqu'à	Noun
Till	jusqu'à ce que	Noun
Till	jusque	Noun
Till	jusqu’à	Noun
Till	laboure	Noun
Till	labourent	Noun
Till	labourer	Noun
Till	labourerai	Noun
Till	laboureras	Noun
Till	labourerez	Noun
Till	laboures	Noun
Till	labourez	Noun
Till	à	Noun
Timbre	timbre	Noun
Time	fois	Noun
Time	heure	Noun
Time	horaire	Noun
Time	l'heure	Noun
Time	moment	Noun
Time	passer	Verb
Time	temps	Noun
Time	époque	Noun
Time Difference	différence de temps	Noun
Time Difference	décalage horaire	Noun
Time Difference	le décalage	Noun
Time For Bed	l'heure d'aller au lit	Noun
Time Frame	délai	Noun
Time Lag	le décalage	Noun
Time Limit	le délai	Noun
Time Span	la période	Noun
Time Will Tell	l'avenir nous le dira	Noun
Timeliness	la ponctualité	Noun
Timer	minuteur	Noun
Times	fois	Noun
Timetable	horaire	Noun
Timetable	l'emploi du temps	Noun
Timing	moment	Verb
Tin	la boîte	Noun
Tin Opener	l'ouvre-boîte	Noun
Tinker	bricoler	Noun
Tinkerers	bricoleur	Noun
Tiny	menu	Adjective
Tiny	minuscule	Adjective
Tip	astuce	Noun
Tip	avertir	Noun
Tip	basculer	Noun
Tip	basculé	Noun
Tip	bout	Noun
Tip	conseil	Noun
Tip	crassier	Noun
Tip	donne un pourboire à	Noun
Tip	donner un pourboire à	Noun
Tip	donner un tuyau à	Noun
Tip	décharge	Noun
Tip	déposer	Noun
Tip	déverse	Noun
Tip	déverser	Noun
Tip	fouillis	Noun
Tip	incline	Noun
Tip	incliner	Noun
Tip	l'extrémité	Noun
Tip	l'indice	Noun
Tip	penche	Noun
Tip	pencher	Noun
Tip	pointe	Noun
Tip	pointes	Noun
Tip	pourboire	Noun
Tip	pressenti	Noun
Tip	renverser	Noun
Tip	s'incliner	Noun
Tip	tips	Noun
Tip	top	Noun
Tip	truc	Noun
Tip	tuyau	Noun
Tip	vider	Noun
Tipp-Ex	blanc	Noun
Tire	pneu	Noun
Tire	épuiser	Noun
Tired	fatigué	Adjective
Tired	fatiguée	Adjective
Tired	fatiguées	Adjective
Tired	fatigués	Adjective
Tiring	fatigant	Verb
Tissue	mouchoir	Noun
Title	générique	Noun
Title	intitule	Noun
Title	intituler	Noun
Title	intitulerais	Noun
Title	intituleriez	Noun
Title	intitules	Noun
Title	intitulez	Noun
Title	titre	Noun
To	auprès	Preposition
To	aux	Preposition
To	chez	Preposition
To	d'	Preposition
To	dans	Preposition
To	devoir	Verb
To	jusqu'à	Preposition
To	pour	Preposition
To	sur	Preposition
To	vers	Preposition
To	à	Preposition
To Abandon	abandonner	Verb
To Abstain	s'abstenir	Verb
To Accelerate	accélérer	Verb
To Accept	accepter	Verb
To Accept	résigner	Verb
To Accommodate	loger	Verb
To Accompany	accompagner	Verb
To Accomplish	accomplir	Verb
To Account For	expliquer	Verb
To Accuse	accuser	Verb
To Achieve	atteindre	Verb
To Acknowledge	reconnaître	Verb
To Act	jouer	Verb
To Act In Advance	anticiper	Verb
To Adapt	adapter	Verb
To Adapt	intégrer	Verb
To Add	additionner	Verb
To Add	ajouter	Verb
To Add Spice To	épicer	Verb
To Address	s'adresser	Verb
To Adjust	adapter	Verb
To Adjust	régler	Verb
To Admit	avouer	Verb
To Admit	hospitaliser	Verb
To Adopt	adopter	Verb
To Adore	adorer	Verb
To Adore	raffoler	Verb
To Adorn	décorer	Verb
To Advance	avancer	Verb
To Advance	progresser	Verb
To Advise	conseiller	Verb
To Advocate	militer	Verb
To Affirm	affirmer	Verb
To Age	vieillir	Verb
To Agree	approuver	Verb
To Agree To	accepter	Verb
To Alter	changer	Verb
To Amuse	distraire	Verb
To Amuse	divertir	Verb
To Analyze	analyser	Verb
To Analyze	expliquer	Verb
To Announce	annoncer	Verb
To Announce	déclarer	Verb
To Annoy	énerver	Verb
To Annul	annuler	Verb
To Answer	décrocher	Verb
To Answer	répondre	Verb
To Anticipate	s'attendre	Verb
To Apologize	excuser	Verb
To Appear	apparaître	Verb
To Applaud	applaudir	Verb
To Apply	appliquer	Verb
To Apply	postuler	Verb
To Apply To	s'adresser	Verb
To Appoint	nommer	Verb
To Appreciate	estimer	Verb
To Apprehend	arrêter	Verb
To Approach	approcher	Verb
To Approach	s'adresser	Verb
To Approve	approuver	Verb
To Approve	valider	Verb
To Argue	plaider	Verb
To Aromatize	aromatiser	Verb
To Arrange	organiser	Verb
To Arrange	s'arranger	Verb
To Arrest	arrêter	Verb
To Arrive	arriver	Verb
To Ascend	escalader	Verb
To Ascend	grimper	Verb
To Ask	demander	Verb
To Ask	poser	Verb
To Ask Over	inviter	Verb
To Assemble	assembler	Verb
To Assemble	réunir	Verb
To Assert	affirmer	Verb
To Assess	estimer	Verb
To Assess	évaluer	Verb
To Assist	aider	Verb
To Assist	soutenir	Verb
To Assume	supposer	Verb
To Astound	éblouir	Verb
To Attract	séduire	Verb
To Avoid	éviter	Verb
To Await	s'attendre	Verb
To Awaken	réveiller	Verb
To Back Up	reculer	Verb
To Bake	cuire	Verb
To Ban	interdire	Verb
To Baptize	baptiser	Verb
To Barbecue	griller	Verb
To Bargain	marchander	Verb
To Be	passer	Verb
To Be	être	Verb
To Be A Sensation	sensation	Verb
To Be Able To	pouvoir	Verb
To Be About	s'agit	Verb
To Be Abuzz	effervescence	Verb
To Be Accounted For	s'expliquer	Verb
To Be Afraid Of	craindre	Verb
To Be Allowed To	pouvoir	Verb
To Be Born	naître	Verb
To Be Composed	s'écrit	Verb
To Be Crazy About	raffoler	Verb
To Be Cross-Eyed	loucher	Verb
To Be Desperate	désespérer	Verb
To Be Explained	s'expliquer	Verb
To Be Familiar With	connaître	Verb
To Be Gone	s'en aller	Verb
To Be Happy	réjouir	Verb
To Be Heavy	peser	Verb
To Be Honest	franchement	Verb
To Be Honest	à vrai dire	Verb
To Be In Pain	souffrir	Verb
To Be In The Red	être dans le rouge	Phrase
To Be Indebted	devoir	Verb
To Be Missing	manquer	Verb
To Be Modified	modifier	Verb
To Be Off	s'en aller	Verb
To Be On	faire	Verb
To Be Overdrawn	être dans le rouge	Phrase
To Be Quiet	taire	Verb
To Be Removed	enlever	Verb
To Be Resolved	s'arranger	Verb
To Be Seen	à prouver	Verb
To Be Sorry	regretter	Verb
To Be Spelled	s'écrit	Verb
To Be Stylish	avoir de l'allure	Phrase
To Be Subjected To	subir	Verb
To Be Suspicious Of	soupçonner	Verb
To Be Tight	serrer	Verb
To Be Understood	s'expliquer	Verb
To Be Unfaithful	trahir	Verb
To Be Unsuccessful	échouer	Verb
To Be Victorious	l'emporter	Verb
To Be Worthy Of	mériter	Verb
To Be Written	s'écrit	Verb
To Bear	porter	Verb
To Beat	battre	Verb
To Become	devenir	Verb
To Become Angry	s'emporter	Verb
To Become Engaged	fiancer	Verb
To Become Swollen	enfler	Verb
To Become Widespread	développer	Verb
To Beg	supplier	Verb
To Begin	commencer	Verb
To Believe	croire	Verb
To Bend	plier	Verb
To Bend Down	baisser	Verb
To Bend Over	pencher	Verb
To Benefit	profiter	Verb
To Betray	trahir	Verb
To Bewitch	enchanter	Verb
To Bite	mordre	Verb
To Blacken	noircir	Verb
To Bleach	blanchir	Verb
To Bleed	saigner	Verb
To Blend	estomper	Verb
To Blend	mélanger	Verb
To Blend In	intégrer	Verb
To Blind	aveugler	Verb
To Blink	cligner	Verb
To Block	boucher	Verb
To Blog	bloguer	Verb
To Bloom	fleurir	Verb
To Bloom	s'épanouir	Verb
To Blossom	s'épanouir	Verb
To Blow	griller	Verb
To Blow	souffler	Verb
To Blow A Whistle	siffler	Verb
To Blow One's Nose	moucher	Verb
To Blush	rougir	Verb
To Board	embarquer	Verb
To Board	monter	Verb
To Boil	bouillir	Verb
To Book	réserver	Verb
To Booze	picoler	Verb
To Bore	percer	Verb
To Borrow	emprunter	Verb
To Bow	saluer	Verb
To Brake	freiner	Verb
To Breach	violer	Verb
To Break	casser	Verb
To Break	détériorer	Verb
To Break Into	cambrioler	Verb
To Break Into	pénétrer	Verb
To Break Up	rompre	Verb
To Breathe	respirer	Verb
To Bring	amener	Verb
To Bring	apporter	Verb
To Bring	emmener	Verb
To Bring Down	effondrer	Verb
To Bring In	importer	Verb
To Bring To An End	conclure	Verb
To Bring Together	réunir	Verb
To Bring Up	élever	Verb
To Broil	rôtir	Verb
To Brown	rôtir	Verb
To Brush	brosser	Verb
To Buckle	boucler	Verb
To Bug	embêter	Verb
To Build	bâtir	Verb
To Build	construire	Verb
To Build	façonner	Verb
To Burglarize	cambrioler	Verb
To Burn	brûler	Verb
To Burn Out	griller	Verb
To Burst	éclater	Verb
To Button	boutonner	Verb
To Buy	acheter	Verb
To Call	appeler	Verb
To Call	téléphoner	Verb
To Calm	apaiser	Verb
To Calm	calmer	Verb
To Camp	camper	Verb
To Campaign	militer	Verb
To Cancel	annuler	Verb
To Care For	soigner	Verb
To Caress	caresser	Verb
To Carry	apporter	Verb
To Carry	porter	Verb
To Carry	transporter	Verb
To Carry Off	emporter	Verb
To Carry Out	remplir	Phrase
To Carry The Day	l'emporter	Verb
To Carve	découper	Verb
To Carve	graver	Verb
To Catch	attraper	Verb
To Catch	pêcher	Verb
To Catch Up	rattraper	Verb
To Cause	causer	Verb
To Cause A Stir	bruit	Verb
To Celebrate	célébrer	Verb
To Celebrate	fêter	Verb
To Challenge Strongly	mettre à rude épreuve	Phrase
To Change	changer	Verb
To Change	modifier	Verb
To Change	transformer	Verb
To Channel-Surf	zapper	Verb
To Charge	accuser	Verb
To Charge	recharger	Verb
To Chat	bavarder	Verb
To Chat	chatter	Verb
To Chat	discuter	Verb
To Chatter	bavarder	Verb
To Cheat On	tromper	Verb
To Check	consulter	Verb
To Check	vérifier	Verb
To Choose	choisir	Verb
To Choose	préférer	Verb
To Chop	couper	Verb
To Chow Down	bouffer	Verb
To Circulate	circuler	Verb
To Claim	prétendre	Verb
To Clarify	expliquer	Verb
To Clarify	préciser	Verb
To Clash	choquer	Verb
To Clean	nettoyer	Verb
To Clean Off	enlever	Verb
To Cleanse	nettoyer	Verb
To Clear	débarrasser	Verb
To Clear	libérer	Verb
To Clear One's Nose	moucher	Verb
To Clear Out	s'en aller	Verb
To Clear Things Up	s'expliquer	Verb
To Clear Up	s'éclaircir	Verb
To Click	cliquer	Verb
To Climb	escalader	Verb
To Climb	grimper	Verb
To Climb	monter	Verb
To Close	boucler	Verb
To Close	conclure	Verb
To Close	fermer	Verb
To Coil	enrouler	Verb
To Collaborate	collaborer	Verb
To Collapse	effondrer	Verb
To Collect	collectionner	Verb
To Collect	ramasser	Verb
To Collect	réunir	Verb
To Collide	choquer	Verb
To Collide With	percuter	Verb
To Color	colorer	Verb
To Color	peindre	Verb
To Comb	brosser	Verb
To Comb One's Hair	peigner	Verb
To Come	venir	Verb
To Come Back	rentrer	Verb
To Come Back	revenir	Verb
To Come Before	précéder	Verb
To Come Into One's Own	s'épanouir	Verb
To Come Off	enlever	Verb
To Come Out	pousser	Verb
To Come To A Stop	arrêter	Verb
To Come To An Agreement	s'arranger	Verb
To Come Up Against	buter	Verb
To Comfort	réconforter	Verb
To Commemorate	célébrer	Verb
To Comment	commenter	Verb
To Comment On	expliquer	Verb
To Commit	commettre	Verb
To Commit Oneself	engager	Verb
To Commit Oneself	s'investir	Verb
To Communicate	communiquer	Verb
To Compare	comparer	Verb
To Compete	participer	Verb
To Compete With	concurrencer	Verb
To Complete	accomplir	Verb
To Complete	boucler	Verb
To Conceive	concevoir	Verb
To Concentrate	concentrer	Verb
To Concern	s'agit	Verb
To Conclude	conclure	Verb
To Condemn	condamner	Verb
To Confess	avouer	Verb
To Confide	confier	Verb
To Configure	configurer	Verb
To Confirm	confirmer	Verb
To Confirm	valider	Verb
To Confront	affronter	Verb
To Confuse	confondre	Verb
To Congratulate	féliciter	Verb
To Connect	brancher	Verb
To Connect	connecter	Verb
To Conquer	surmonter	Verb
To Consider	envisager	Verb
To Consider	estimer	Verb
To Construct	bâtir	Verb
To Construct	construire	Verb
To Consult	consulter	Verb
To Consume	consommer	Verb
To Contact	contacter	Verb
To Contact	joindre	Verb
To Contact	s'adresser	Verb
To Contaminate	contaminer	Verb
To Contaminate	polluer	Verb
To Contemplate	envisager	Verb
To Contest	contester	Verb
To Continue	continuer	Verb
To Continue	durer	Verb
To Contort	tordre	Verb
To Contradict	contredire	Verb
To Convene	réunir	Verb
To Convince	convaincre	Verb
To Convince	persuader	Verb
To Convulse	tordre	Verb
To Cook	cuire	Verb
To Cook	cuisiner	Verb
To Cool Down	refroidir	Verb
To Cool Off	rafraîchir	Verb
To Cooperate	collaborer	Verb
To Correct	corriger	Verb
To Cost	coûter	Verb
To Cough	tousser	Verb
To Cover	parcourir	Verb
To Cover Up	couvrir	Verb
To Cramp	tordre	Verb
To Crash Into	percuter	Verb
To Create	créer	Verb
To Create	faire	Verb
To Create	façonner	Verb
To Create	produire	Verb
To Criticize	critiquer	Verb
To Cross	croiser	Verb
To Cross	traverser	Verb
To Crouch	accroupir	Verb
To Cry	pleurer	Verb
To Cultivate	cultiver	Verb
To Cure	guérir	Verb
To Curse	jurer	Verb
To Curtsy	saluer	Verb
To Cut	couper	Verb
To Cut	diminuer	Verb
To Cut Off	interrompre	Verb
To Cut Oneself	couper	Verb
To Cut Ties	rompre	Verb
To Cut Up	découper	Verb
To Cut With A Saw	scier	Verb
To Cycle	pédaler	Verb
To Damage	détériorer	Verb
To Damage	nuire	Verb
To Dance	danser	Verb
To Dance One's Heart Out	s'éclater	Verb
To Dare	oser	Verb
To Darken	noircir	Verb
To Dazzle	aveugler	Verb
To Dazzle	éblouir	Verb
To Deal With	s'agit	Verb
To Debate	débattre	Verb
To Deceive	tromper	Verb
To Decelerate	ralentir	Verb
To Decide	décider	Verb
To Decide	juger	Verb
To Declare	déclarer	Verb
To Decorate	décorer	Verb
To Decrease	descendre	Verb
To Dedicate	consacrer	Verb
To Dedicate Oneself	s'investir	Verb
To Deduct	déduire	Verb
To Deduct	retrancher	Verb
To Deduct	soustraire	Verb
To Deep-Fry	frire	Verb
To Deepen	approfondir	Verb
To Deeply Move	bouleverser	Verb
To Defeat	battre	Verb
To Defend	défendre	Verb
To Defer	repousser	Verb
To Delay	remettre	Verb
To Delay	retarder	Verb
To Delete	effacer	Verb
To Delve Into	approfondir	Verb
To Demand	prétendre	Verb
To Demolish	démolir	Verb
To Demonstrate	démontrer	Verb
To Demonstrate	prouver	Verb
To Denounce	dénoncer	Verb
To Depart	partir	Verb
To Depart	s'en aller	Verb
To Depend	dépendre	Verb
To Depict	décrire	Verb
To Depict	illustrer	Verb
To Descend	descendre	Verb
To Describe	décrire	Verb
To Deserve	mériter	Verb
To Design	concevoir	Verb
To Desist	s'abstenir	Verb
To Despair	désespérer	Verb
To Despise	mépriser	Verb
To Destroy	démolir	Verb
To Destroy	détruire	Verb
To Detain And Question	interpeller	Verb
To Deteriorate	détériorer	Verb
To Develop	développer	Verb
To Develop	s'épanouir	Verb
To Develop	évoluer	Verb
To Devote	consacrer	Verb
To Devour	dévorer	Verb
To Die	mourir	Verb
To Dig	creuser	Verb
To Digest	digérer	Verb
To Dip	tremper	Verb
To Disagree	désapprouver	Verb
To Disappear	disparaître	Verb
To Disappoint	décevoir	Verb
To Disapprove	désapprouver	Verb
To Discard	jeter	Verb
To Disconnect	débrancher	Verb
To Disconnect	déconnecter	Verb
To Discover	découvrir	Verb
To Discover	trouver	Verb
To Discuss	discuter	Verb
To Discuss	débattre	Verb
To Disembark	descendre	Verb
To Disembark	débarquer	Verb
To Disguise	déguiser	Verb
To Disinfect	désinfecter	Verb
To Disobey	désobéir	Verb
To Display	montrer	Verb
To Displease	déplaire	Verb
To Dispute	contester	Verb
To Distract	déconcentrer	Verb
To Distrust	méfier	Verb
To Disturb	déconcentrer	Verb
To Ditch	sécher	Verb
To Dive In	à l'eau	Phrase
To Divide	diviser	Verb
To Divorce	divorcer	Verb
To Do	faire	Verb
To Do	pratiquer	Verb
To Do	à faire	Verb
To Do Early	anticiper	Verb
To Do Odd Jobs	bricoler	Verb
To Do One's Hair	coiffer	Verb
To Do Stretching	étirer	Verb
To Do Well	assurer	Verb
To Do With	à voir avec	Verb
To Doubt	douter	Verb
To Download	installer	Verb
To Download	télécharger	Verb
To Draft	rédiger	Verb
To Draw	dessiner	Verb
To Draw	tirer	Verb
To Dread	redouter	Verb
To Dress Oneself	habiller	Verb
To Dress Up	déguiser	Verb
To Drift Off	endormir	Verb
To Drill	percer	Verb
To Drink	boire	Verb
To Drink	prendre	Verb
To Drink Heavily	picoler	Verb
To Drive	conduire	Verb
To Drive	rouler	Verb
To Drive In	enfoncer	Verb
To Dry	faner	Verb
To Dry	sécher	Verb
To Dry Off	sécher	Verb
To Dry Oneself	sécher	Verb
To Dye	colorer	Verb
To Each Other	nous	Verb
To Each Other	s'	Verb
To Earn	gagner	Verb
To Ease	soulager	Verb
To Eat	bouffer	Verb
To Eat	manger	Verb
To Eat	prendre	Verb
To Eat	à manger	Verb
To Eat Quickly	s'envoyer	Verb
To Echo	résonner	Verb
To Edit	éditer	Verb
To Educate	éduquer	Verb
To Emphasize	souligner	Verb
To Employ	embaucher	Verb
To Encourage	encourager	Verb
To Encourage	favoriser	Verb
To Encourage	réconforter	Verb
To End	conclure	Verb
To End	finir	Verb
To End Up Well	s'arranger	Verb
To Endure	endurer	Verb
To Engage Oneself	s'investir	Verb
To Engrave	graver	Verb
To Enhance	améliorer	Verb
To Enjoy	apprécier	Verb
To Enjoy Oneself	amuser	Verb
To Enjoy Oneself	s'éclater	Verb
To Ensure	veiller	Verb
To Enter	composer	Verb
To Enter	entrer	Verb
To Enter	pénétrer	Verb
To Enter	saisir	Verb
To Enter Into A Civil Partnership	pacser	Verb
To Entertain	distraire	Verb
To Entertain	divertir	Verb
To Equal	égaler	Verb
To Equip	doter	Verb
To Erase	effacer	Verb
To Escape	fuir	Verb
To Escape	échapper	Verb
To Estimate	deviner	Verb
To Estimate	estimer	Verb
To Estimate	évaluer	Verb
To Evaluate	estimer	Verb
To Evolve	évoluer	Verb
To Examine	analyser	Verb
To Examine	ausculter	Verb
To Examine Deeply	approfondir	Verb
To Exchange	échanger	Verb
To Exchange A Kiss	embrasser	Verb
To Exchange Messages	s'envoyer	Verb
To Excite	enflammer	Verb
To Excuse Oneself	excuser	Verb
To Exist	vivre	Verb
To Exit	s'en aller	Verb
To Expand	développer	Verb
To Expect	espérer	Verb
To Expect	s'attendre	Verb
To Explain	expliquer	Verb
To Explain	interpréter	Verb
To Explain Oneself	s'expliquer	Verb
To Explore	explorer	Verb
To Export	exporter	Verb
To Express Gratitude	remercier	Verb
To Express Oneself	exprimer	Verb
To Extract	arracher	Verb
To Face	affronter	Verb
To Fail	rater	Verb
To Fail	échouer	Verb
To Faint	évanouir	Verb
To Fall	tomber	Verb
To Fall Asleep	endormir	Verb
To Farm	cultiver	Verb
To Fasten	attacher	Verb
To Fasten	boucler	Verb
To Fasten	boutonner	Verb
To Fasten	fixer	Verb
To Fasten	visser	Verb
To Fear	craindre	Verb
To Fear	redouter	Verb
To Feed	nourrir	Verb
To Feel	palper	Verb
To Feel	ressentir	Verb
To Feel	sentir	Verb
To Feel	tâter	Verb
To Feel Like	avoir l'impression de	Phrase
To Feel Sorry For	regretter	Verb
To Fidget	gigoter	Verb
To Fight	battre	Verb
To Fight	lutter	Verb
To Fight Against	combattre	Verb
To Fight For	militer	Verb
To Fill	reboucher	Verb
To Fill	remplir	Verb
To Fill Up	remplir	Verb
To Find	trouver	Verb
To Find Fulfillment	s'épanouir	Verb
To Find One's Way	s'orienter	Verb
To Find One's Way Around	s'orienter	Verb
To Find Out	découvrir	Verb
To Finish	boucler	Verb
To Finish	conclure	Verb
To Finish	finir	Verb
To Finish	à finir	Verb
To Finish Off	conclure	Verb
To Fire	licencier	Verb
To Fish	pêcher	Verb
To Fit	chausser	Verb
To Fit Snugly	serrer	Verb
To Fix	corriger	Verb
To Fix	remédier	Verb
To Fix	réparer	Verb
To Fix	rétablir	Verb
To Flavor	aromatiser	Verb
To Flavor	assaisonner	Verb
To Flavor	épicer	Verb
To Flee	enfuir	Verb
To Flee	fuir	Verb
To Flee	échapper	Verb
To Flip	renverser	Verb
To Flip Channels	zapper	Verb
To Flip Through	feuilleter	Verb
To Flood	déborder	Verb
To Flourish	développer	Verb
To Flourish	fleurir	Verb
To Flourish	s'épanouir	Verb
To Flow	circuler	Verb
To Flower	fleurir	Verb
To Fly	piloter	Verb
To Fly	prendre l'avion	Verb
To Fly Into A Rage	s'emporter	Verb
To Focus	concentrer	Verb
To Fold	plier	Verb
To Follow	obéir	Verb
To Follow	respecter	Verb
To Follow	suivre	Verb
To Foresee	prévoir	Verb
To Forget	oublier	Verb
To Forget	échapper	Verb
To Forward	envoyer	Verb
To Freeze	geler	Verb
To Freshen Up	rafraîchir	Verb
To Fry	frire	Verb
To Function	marcher	Verb
To Furnish	doter	Verb
To Gain Weight	grossir	Verb
To Garden	jardiner	Verb
To Gather	collectionner	Verb
To Gather	cueillir	Verb
To Gather	réunir	Verb
To Gather Up	ramasser	Verb
To Gesture	gesticuler	Verb
To Get	attraper	Verb
To Get	obtenir	Verb
To Get	prendre	Verb
To Get	recevoir	Verb
To Get A Pacs	pacser	Verb
